Code	Description
100000	MANAGERS
110000	Chief Executives, General Managers and Legislators
111000	Chief Executives, General Managers and Legislators
111100	Chief Executives and Managing Directors
111111	Chief Executive or Managing Director
111200	General Managers
111211	Corporate General Manager
111212	Defence Force Senior Officer
111300	Legislators
111311	Local Government Legislator
111312	Member of Parliament
111399	Legislators nec
120000	Farmers and Farm Managers
121000	Farmers and Farm Managers
121100	Aquaculture Farmers
121111	Aquaculture Farmer
121200	Crop Farmers
121211	Cotton Grower
121212	Flower Grower
121213	Fruit or Nut Grower
121214	Grain, Oilseed or Pasture Grower (Aus) / Field Crop Grower (NZ)
121215	Grape Grower
121216	Mixed Crop Farmer
121217	Sugar Cane Grower
121218	Turf Grower
121221	Vegetable Grower (Aus) / Market Gardener (NZ)
121299	Crop Farmers nec
121300	Livestock Farmers
121311	Apiarist
121312	Beef Cattle Farmer
121313	Dairy Cattle Farmer
121314	Deer Farmer
121315	Goat Farmer
121316	Horse Breeder
121317	Mixed Livestock Farmer
121318	Pig Farmer
121321	Poultry Farmer
121322	Sheep Farmer
121399	Livestock Farmers nec
121400	Mixed Crop and Livestock Farmers
121411	Mixed Crop and Livestock Farmer
130000	Specialist Managers
131000	Advertising, Public Relations and Sales Manager
131100	Advertising, Public Relations and Sales Manager
131112	Sales and Marketing Manager
131113	Advertising Manager
131114	Public Relations Manager
132000	Business Administration Managers
132100	Corporate Services Managers
132111	Corporate Services Manager
132200	Finance Managers
132211	Finance Manager
132300	Human Resource Managers
132311	Human Resource Manager
132400	Policy and Planning Managers
132411	Policy and Planning Manager
132500	Research and Development Managers
132511	Research and Development Manager
133000	Construction, Distribution and Production Managers
133100	Construction Managers
133111	Construction Project Manager
133112	Project Builder
133200	Engineering Managers
133211	Engineering Manager
133300	Importers, Exporters and Wholesalers
133311	Importer or Exporter
133312	Wholesaler
133400	Manufacturers
133411	Manufacturer
133500	Production Managers
133511	Production Manager (Forestry)
133512	Production Manager (Manufacturing)
133513	Production Manager (Mining)
133600	Supply and Distribution Managers
133611	Supply and Distribution Manager
134000	Education, Health and Welfare Services Managers
134100	Child Care Centre Managers
134111	Child Care Centre Manager
134200	Health and Welfare Services Managers
134211	Medical Administrator (Aus) / Medical Superintendent (NZ)
134212	Nursing Clinical Director
134213	Primary Health Organisation Manager
134214	Welfare Centre Manager
134299	Health and Welfare Services Managers nec
134300	School Principals
134311	School Principal
134400	Other Education Managers
134411	Faculty Head
134412	Regional Education Manager
134499	Education Managers nec
135000	ICT Managers
135100	ICT Managers
135111	Chief Information Officer
135112	ICT Project Manager
135199	ICT Managers nec
139000	Miscellaneous Specialist Managers
139100	Commissioned Officers (Management)
139111	Commissioned Defence Force Officer
139112	Commissioned Fire Officer
139113	Commissioned Police Officer
139200	Senior Non-commissioned Defence Force Members
139211	Senior Non-commissioned Defence Force Member
139900	Other Specialist Managers
139911	Arts Administrator or Manager
139912	Environmental Manager
139913	Laboratory Manager
139914	Quality Assurance Manager
139915	Sports Administrator
139999	Specialist Managers nec
140000	Hospitality, Retail and Service Managers
141000	Accommodation and Hospitality Managers
141100	Cafe and Restaurant Managers
141111	Cafe or Restaurant Manager
141200	Caravan Park and Camping Ground Managers
141211	Caravan Park and Camping Ground Manager
141300	Hotel and Motel Managers
141311	Hotel or Motel Manager
141400	Licensed Club Managers
141411	Licensed Club Manager
141900	Other Accommodation and Hospitality Managers
141911	Bed and Breakfast Operator
141912	Retirement Village Manager
141999	Accommodation and Hospitality Managers nec
142000	Retail Managers
142100	Retail Managers
142111	Retail Manager (General)
142112	Antique Dealer
142113	Betting Agency Manager
142114	Hair or Beauty Salon Manager
142115	Post Office Manager
142116	Travel Agency Manager
149000	Miscellaneous Hospitality, Retail and Service Managers
149100	Amusement, Fitness and Sports Centre Managers
149111	Amusement Centre Manager
149112	Fitness Centre Manager
149113	Sports Centre Manager
149200	Call or Contact Centre and Customer Service Managers
149211	Call or Contact Centre Manager
149212	Customer Service Manager
149300	Conference and Event Organisers
149311	Conference and Event Organiser
149400	Transport Services Managers
149411	Fleet Manager
149412	Railway Station Manager
149413	Transport Company Manager
149900	Other Hospitality, Retail and Service Managers
149911	Boarding Kennel or Cattery Operator
149912	Cinema or Theatre Manager
149913	Facilities Manager
149914	Financial Institution Branch Manager
149915	Equipment Hire Manager
149999	Hospitality, Retail and Service Managers nec
200000	PROFESSIONALS
210000	Arts and Media Professionals
211000	Arts Professionals
211100	Actors, Dancers and Other Entertainers
211111	Actor
211112	Dancer or Choreographer
211113	Entertainer or Variety Artist
211199	Actors, Dancers and Other Entertainers nec
211200	Music Professionals
211211	Composer
211212	Music Director
211213	Musician (Instrumental)
211214	Singer
211299	Music Professionals nec
211300	Photographers
211311	Photographer
211400	Visual Arts and Crafts Professionals
211411	Painter (Visual Arts)
211412	Potter or Ceramic Artist
211413	Sculptor
211499	Visual Arts and Crafts Professionals nec
212000	Media Professionals
212100	Artistic Directors, and Media Producers and Presenters
212111	Artistic Director
212112	Media Producer (excluding Video)
212113	Radio Presenter
212114	Television Presenter
212200	Authors, and Book and Script Editors
212211	Author
212212	Book or Script Editor
212300	Film, Television, Radio and Stage Directors
212311	Art Director (Film, Television or Stage)
212312	Director (Film, Television, Radio or Stage)
212313	Director of Photography
212314	Film and Video Editor
212315	Program Director (Television or Radio)
212316	Stage Manager
212317	Technical Director
212318	Video Producer
212399	Film, Television, Radio and Stage Directors nec
212400	Journalists and Other Writers
212411	Copywriter
212412	Newspaper or Periodical Editor
212413	Print Journalist
212414	Radio Journalist
212415	Technical Writer
212416	Television Journalist
212499	Journalists and Other Writers nec
220000	Business, Human Resource and Marketing Professionals
221000	Accountants, Auditors and Company Secretaries
221100	Accountants
221111	Accountant (General)
221112	Management Accountant
221113	Taxation Accountant
221200	Auditors, Company Secretaries and Corporate Treasurers
221211	Company Secretary
221212	Corporate Treasurer
221213	External Auditor
221214	Internal Auditor
222000	Financial Brokers and Dealers, and Investment Advisers
222100	Financial Brokers
222111	Commodities Trader
222112	Finance Broker
222113	Insurance Broker
222199	Financial Brokers nec
222200	Financial Dealers
222211	Financial Market Dealer
222212	Futures Trader
222213	Stockbroking Dealer
222299	Financial Dealers nec
222300	Financial Investment Advisers and Managers
222311	Financial Investment Adviser
222312	Financial Investment Manager
223000	Human Resource and Training Professionals
223100	Human Resource Professionals
223111	Human Resource Adviser
223112	Recruitment Consultant
223113	Workplace Relations Adviser
223200	ICT Trainers
223211	ICT Trainer
223300	Training and Development Professionals
223311	Training and Development Professional
224000	Information and Organisation Professionals
224100	Actuaries, Mathematicians and Statisticians
224111	Actuary
224112	Mathematician
224113	Statistician
224200	Archivists, Curators and Records Managers
224211	Archivist
224212	Gallery or Museum Curator
224213	Health Information Manager
224214	Records Manager
224300	Economists
224311	Economist
224400	Intelligence and Policy Analysts
224411	Intelligence Officer
224412	Policy Analyst
224500	Land Economists and Valuers
224511	Land Economist
224512	Valuer
224600	Librarians
224611	Librarian
224700	Management and Organisation Analysts
224711	Management Consultant
224712	Organisation and Methods Analyst
224900	Other Information and Organisation Professionals
224911	Electorate Officer
