Code	Description
224912	Liaison Officer
224913	Migration Agent (Aus) / Immigration Consultant (NZ)
224914	Patents Examiner
224999	Information and Organisation Professionals nec
225000	Sales, Marketing and Public Relations Professionals
225100	Advertising and Marketing Professionals
225111	Advertising Specialist
225112	Market Research Analyst
225113	Marketing Specialist
225200	ICT Sales Professionals
225211	ICT Account Manager
225212	ICT Business Development Manager
225213	ICT Sales Representative
225300	Public Relations Professionals
225311	Public Relations Professional
225400	Technical Sales Representatives
225411	Sales Representative (Industrial Products)
225412	Sales Representative (Medical and Pharmaceutical Products)
225499	Technical Sales Representatives nec
230000	Design, Engineering, Science and Transport Professionals
231000	Air and Marine Transport Professionals
231100	Air Transport Professionals
231111	Aeroplane Pilot
231112	Air Traffic Controller
231113	Flying Instructor
231114	Helicopter Pilot
231199	Air Transport Professionals nec
231200	Marine Transport Professionals
231211	Master Fisher
231212	Ship's Engineer
231213	Ship's Master
231214	Ship's Officer
231215	Ship's Surveyor
231299	Marine Transport Professionals nec
232000	Architects, Designers, Planners and Surveyors
232100	Architects and Landscape Architects
232111	Architect
232112	Landscape Architect
232200	Cartographers and Surveyors
232200	Surveyors and Spatial Sciences
232212	Surveyor
232213	Cartographer
232214	Other Spatial Scientist
232300	Fashion, Industrial and Jewellery Designers
232311	Fashion Designer
232312	Industrial Designer
232313	Jewellery Designer
232400	Graphic and Web Designers, and Illustrators
232411	Graphic Designer
232412	Illustrator
232413	Multimedia Designer
232414	Web Designer
232500	Interior Designers
232511	Interior Designer
232600	Urban and Regional Planners
232611	Urban and Regional Planner
233000	Engineering Professionals
233100	Chemical and Materials Engineers
233111	Chemical Engineer
233112	Materials Engineer
233200	Civil Engineering Professionals
233211	Civil Engineer
233212	Geotechnical Engineer
233213	Quantity Surveyor
233214	Structural Engineer
233215	Transport Engineer
233300	Electrical Engineers
233311	Electrical Engineer
233400	Electronics Engineers
233411	Electronics Engineer
233500	Industrial, Mechanical and Production Engineers
233511	Industrial Engineer
233512	Mechanical Engineer
233513	Production or Plant Engineer
233600	Mining Engineers
233611	Mining Engineer (excluding Petroleum)
233612	Petroleum Engineer
233900	Other Engineering Professionals
233911	Aeronautical Engineer
233912	Agricultural Engineer
233913	Biomedical Engineer
233914	Engineering Technologist
233915	Environmental Engineer
233916	Naval Architect (Aus) / Marine Designer (NZ)
233999	Engineering Professionals nec
234000	Natural and Physical Science Professionals
234100	Agricultural and Forestry Scientists
234111	Agricultural Consultant
234112	Agricultural Scientist
234113	Forester (Aus) / Forest Scientist (NZ)
234200	Chemists, and Food and Wine Scientists
234211	Chemist
234212	Food Technologist
234213	Wine Maker
234300	Environmental Scientists
234311	Conservation Officer
234312	Environmental Consultant
234313	Environmental Research Scientist
234314	Park Ranger
234399	Environmental Scientists nec
234400	Geologists and Geophysicists
234411	Geologist
234412	Geophysicist
234500	Life Scientists
234511	Life Scientist (General)
234512	Anatomist or Physiologist
234513	Biochemist
234514	Biotechnologist
234515	Botanist
234516	Marine Biologist
234517	Microbiologist
234518	Zoologist
234599	Life Scientists nec
234600	Medical Laboratory Scientists
234611	Medical Laboratory Scientist
234700	Veterinarians
234711	Veterinarian
234900	Other Natural and Physical Science Professionals
234911	Conservator
234912	Metallurgist
234913	Meteorologist
234914	Physicist
234999	Natural and Physical Science Professionals nec
240000	Education Professionals
241000	School Teachers
241100	Early Childhood (Pre-primary School) Teachers
241111	Early Childhood (Pre-primary School) Teacher
241112	Kaiako Kohanga Reo (Maori Language Nest Teacher)
241200	Primary School Teachers
241211	Kaiako Kura Kaupapa Maori (Maori-medium Primary School Teacher)
241212	Pouako Kura Kaupapa Maori (Maori-medium Primary School Senior Teacher)
241213	Primary School Teacher
241300	Middle School Teachers (Aus) / Intermediate School Teachers (NZ)
241311	Middle School Teacher (Aus) / Intermediate School Teacher (NZ)
241400	Secondary School Teachers
241411	Secondary School Teacher
241500	Special Education Teachers
241511	Special Needs Teacher
241512	Teacher of the Hearing Impaired
241513	Teacher of the Sight Impaired
241599	Special Education Teachers nec
242000	Tertiary Education Teachers
242100	University Lecturers and Tutors
242111	University Lecturer
242112	University Tutor
242200	Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ)
242211	Vocational Education Teacher (Aus) / Polytechnic Teacher (NZ)
249000	Miscellaneous Education Professionals
249100	Education Advisers and Reviewers
249111	Education Adviser
249112	Education Reviewer
249200	Private Tutors and Teachers
249211	Art Teacher (Private Tuition)
249212	Dance Teacher (Private Tuition)
249213	Drama Teacher (Private Tuition)
249214	Music Teacher (Private Tuition)
249299	Private Tutors and Teachers nec
249300	Teachers of English to Speakers of Other Languages
249311	Teacher of English to Speakers of Other Languages
250000	Health Professionals
251000	Health Diagnostic and Promotion Professionals
251100	Dietitians
251111	Dietitian
251200	Medical Imaging Professionals
251211	Medical Diagnostic Radiographer
251212	Medical Radiation Therapist
251213	Nuclear Medicine Technologist
251214	Sonographer
251300	Occupational and Environmental Health Professionals
251311	Environmental Health Officer
251312	Occupational Health and Safety Adviser
251400	Optometrists and Orthoptists
251411	Optometrist
251412	Orthoptist
251500	Pharmacists
251511	Hospital Pharmacist
251512	Industrial Pharmacist
251513	Retail Pharmacist
251900	Other Health Diagnostic and Promotion Professionals
251911	Health Promotion Officer
251912	Orthotist or Prosthetist
251999	Health Diagnostic and Promotion Professionals nec
252000	Health Therapy Professionals
252100	Chiropractors and Osteopaths
252111	Chiropractor
252112	Osteopath
252200	Complementary Health Therapists
252211	Acupuncturist
252212	Homoeopath
252213	Naturopath
252214	Traditional Chinese Medicine Practitioner
252215	Traditional Maori Health Practitioner
252299	Complementary Health Therapists nec
252300	Dental Practitioners
252311	Dental Specialist
252312	Dentist
252400	Occupational Therapists
252411	Occupational Therapist
252500	Physiotherapists
252511	Physiotherapist
252600	Podiatrists
252611	Podiatrist
252700	Speech Professionals and Audiologists
252711	Audiologist
252712	Speech Pathologist (Aus) / Speech Language Therapist (NZ)
253000	Medical Practitioners
253100	Generalist Medical Practitioners
253111	General Medical Practitioner
253112	Resident Medical Officer
253198	Radiation Oncologist
253200	Anaesthetists
253211	Anaesthetist
253300	Specialist Physicians
253311	Specialist Physician (General Medicine)
253312	Cardiologist
253313	Clinical Haematologist
253314	Clinical Oncologist
253314	Medical Oncologist
253315	Endocrinologist
253316	Gastroenterologist
253317	Intensive Care Specialist
253318	Neurologist
253321	Paediatrician
253322	Renal Medicine Specialist
253323	Rheumatologist
253324	Thoracic Medicine Specialist
253399	Internal Medicine Specialists nec
253399	Specialist Physicians nec
253400	Psychiatrists
253411	Psychiatrist
253500	Surgeons
253511	Surgeon (General)
253512	Cardiothoracic Surgeon
253513	Neurosurgeon
253514	Orthopaedic Surgeon
253515	Otorhinolaryngologist
253516	Paediatric Surgeon
253517	Plastic and Reconstructive Surgeon
253518	Urologist
253521	Vascular Surgeon
253900	Other Medical Practitioners
253911	Dermatologist
253912	Emergency Medicine Specialist
253913	Obstetrician and Gynaecologist
253914	Ophthalmologist
253915	Pathologist
253916	Radiologist
253917	Diagnostic and Interventional Radiologist
253999	Medical Practitioners nec
254000	Midwifery and Nursing Professionals
254100	Midwives
254111	Midwife
254200	Nurse Educators and Researchers
254211	Nurse Educator
254212	Nurse Researcher
254300	Nurse Managers
254311	Nurse Manager
254400	Registered Nurses
254411	Nurse Practitioner
254412	Registered Nurse (Aged Care)
254413	Registered Nurse (Child and Family Health)
254414	Registered Nurse (Community Health)
254415	Registered Nurse (Critical Care and Emergency)
254416	Registered Nurse (Developmental Disability)
254417	Registered Nurse (Disability and Rehabilitation)
254418	Registered Nurse (Medical)
254421	Registered Nurse (Medical Practice)
254422	Registered Nurse (Mental Health)
254423	Registered Nurse (Perioperative)
254424	Registered Nurse (Surgical)
254499	Registered Nurses nec
260000	ICT Professionals
261000	Business and Systems Analysts, and Programmers
261100	ICT Business and Systems Analysts
261111	ICT Business Analyst
261112	Systems Analyst
261200	Multimedia Specialists and Web Developers
261211	Multimedia Specialist
261212	Web Developer
261300	Software and Applications Programmers
261311	Analyst Programmer
261312	Developer Programmer
261313	Software Engineer
261314	Software Tester
261399	Software and Applications Programmers nec
262000	Database and Systems Administrators, and ICT Security Specialists
262100	Database and Systems Administrators, and ICT Security Specialists
262111	Database Administrator
262112	ICT Security Specialist
262113	Systems Administrator
263000	ICT Network and Support Professionals
263100	Computer Network Professionals
263111	Computer Network and Systems Engineer
263112	Network Administrator
263113	Network Analyst
263200	ICT Support and Test Engineers
263211	ICT Quality Assurance Engineer
263212	ICT Support Engineer
263213	ICT Systems Test Engineer
263299	ICT Support and Test Engineers nec
263300	Telecommunications Engineering Professionals
263311	Telecommunications Engineer
263312	Telecommunications Network Engineer
270000	Legal, Social and Welfare Professionals
271000	Legal Professionals
271100	Barristers
271111	Barrister
271200	Judicial and Other Legal Professionals
271211	Judge
271212	Magistrate
271213	Tribunal Member
271299	Judicial and Other Legal Professionals nec
271300	Solicitors
271311	Solicitor
272000	Social and Welfare Professionals
272100	Counsellors
272111	Careers Counsellor
272112	Drug and Alcohol Counsellor
272113	Family and Marriage Counsellor
272114	Rehabilitation Counsellor
272115	Student Counsellor
272199	Counsellors nec
272200	Ministers of Religion
272211	Minister of Religion
272300	Psychologists
272311	Clinical Psychologist
272312	Educational Psychologist
272313	Organisational Psychologist
272314	Psychotherapist
272399	Psychologists nec
272400	Social Professionals
272411	Historian
272412	Interpreter
272413	Translator
272499	Social Professionals nec
272500	Social Workers
272511	Social Worker
272600	Welfare, Recreation and Community Arts Workers
272611	Community Arts Worker
272612	Recreation Officer (Aus) / Recreation Coordinator (NZ)
272613	Welfare Worker
300000	TECHNICIANS AND TRADES WORKERS
310000	Engineering, ICT and Science Technicians
311000	Agricultural, Medical and Science Technicians
311100	Agricultural Technicians
311111	Agricultural Technician
311200	Medical Technicians
311211	Anaesthetic Technician
311212	Cardiac Technician
311213	Medical Laboratory Technician
311214	Operating Theatre Technician
311215	Pharmacy Technician
311216	Pathology Collector (Aus) / Phlebotomist (NZ)
311299	Medical Technicians nec
311300	Primary Products Inspectors
311311	Fisheries Officer
311312	Meat Inspector
311313	Quarantine Officer
311399	Primary Products Inspectors nec
311400	Science Technicians
311411	Chemistry Technician
311412	Earth Science Technician
311413	Life Science Technician
311414	School Laboratory Technician
311499	Science Technicians nec
312000	Building and Engineering Technicians
312100	Architectural, Building and Surveying Technicians
312111	Architectural Draftsperson
312112	Building Associate
312113	Building Inspector
312114	Construction Estimator
312115	Plumbing Inspector
312116	Surveying or Spatial Science Technician
312199	Architectural, Building and Surveying Technicians nec
312200	Civil Engineering Draftspersons and Technicians
312211	Civil Engineering Draftsperson
312212	Civil Engineering Technician
312300	Electrical Engineering Draftspersons and Technicians
312311	Electrical Engineering Draftsperson
312312	Electrical Engineering Technician
312400	Electronic Engineering Draftspersons and Technicians
312411	Electronic Engineering Draftsperson
312412	Electronic Engineering Technician
312500	Mechanical Engineering Draftspersons and Technicians
312511	Mechanical Engineering Draftsperson
312512	Mechanical Engineering Technician
312600	Safety Inspectors
312611	Safety Inspector
312900	Other Building and Engineering Technicians
312911	Maintenance Planner
312912	Metallurgical or Materials Technician
312913	Mine Deputy
312999	Building and Engineering Technicians nec
313000	ICT and Telecommunications Technicians
313100	ICT Support Technicians
313111	Hardware Technician
313112	ICT Customer Support Officer
313113	Web Administrator
313199	ICT Support Technicians nec
313200	Telecommunications Technical Specialists
313211	Radiocommunications Technician
313212	Telecommunications Field Engineer
313213	Telecommunications Network Planner
313214	Telecommunications Technical Officer or Technologist
320000	Automotive and Engineering Trades Workers
321000	Automotive Electricians and Mechanics
321100	Automotive Electricians
321111	Automotive Electrician
321200	Motor Mechanics
321211	Motor Mechanic (General)
321212	Diesel Motor Mechanic
321213	Motorcycle Mechanic
321214	Small Engine Mechanic
322000	Fabrication Engineering Trades Workers
322100	Metal Casting, Forging and Finishing Trades Workers
322111	Blacksmith
322112	Electroplater
322113	Farrier
322114	Metal Casting Trades Worker
322115	Metal Polisher
322200	Sheetmetal Trades Workers
322211	Sheetmetal Trades Worker
322300	Structural Steel and Welding Trades Workers
322311	Metal Fabricator
322312	Pressure Welder
322313	Welder (First Class) (Aus) / Welder (NZ)
323000	Mechanical Engineering Trades Workers
323100	Aircraft Maintenance Engineers
323111	Aircraft Maintenance Engineer (Avionics)
323112	Aircraft Maintenance Engineer (Mechanical)
323113	Aircraft Maintenance Engineer (Structures)
323200	Metal Fitters and Machinists
323211	Fitter (General)
323212	Fitter and Turner
323213	Fitter-Welder
323214	Metal Machinist (First Class)
323215	Textile, Clothing and Footwear Mechanic
323299	Metal Fitters and Machinists nec
323300	Precision Metal Trades Workers
323311	Engraver
323312	Gunsmith
323313	Locksmith
323314	Precision Instrument Maker and Repairer
323315	Saw Maker and Repairer
323316	Watch and Clock Maker and Repairer
323400	Toolmakers and Engineering Patternmakers
323411	Engineering Patternmaker
323412	Toolmaker
324000	Panelbeaters, and Vehicle Body Builders, Trimmers and Painters
324100	Panelbeaters
324111	Panelbeater
324200	Vehicle Body Builders and Trimmers
324211	Vehicle Body Builder
324212	Vehicle Trimmer
324300	Vehicle Painters
324311	Vehicle Painter
330000	Construction Trades Workers
331000	Bricklayers, and Carpenters and Joiners
331100	Bricklayers and Stonemasons
331111	Bricklayer
331112	Stonemason
331200	Carpenters and Joiners
331211	Carpenter and Joiner
331212	Carpenter
331213	Joiner
332000	Floor Finishers and Painting Trades Workers
332100	Floor Finishers
332111	Floor Finisher
332200	Painting Trades Workers
332211	Painting Trades Worker
333000	Glaziers, Plasterers and Tilers
333100	Glaziers
333111	Glazier
333200	Plasterers
333211	Fibrous Plasterer
333212	Solid Plasterer
333300	Roof Tilers
333311	Roof Tiler
333400	Wall and Floor Tilers
333411	Wall and Floor Tiler
334000	Plumbers
334100	Plumbers
334111	Plumber (General)
334112	Airconditioning and Mechanical Services Plumber
334113	Drainer (Aus) / Drainlayer (NZ)
334114	Gasfitter
334115	Roof Plumber
340000	Electrotechnology and Telecommunications Trades Workers
341000	Electricians
341100	Electricians
341111	Electrician (General)
341112	Electrician (Special Class)
341113	Lift Mechanic
342000	Electronics and Telecommunications Trades Workers
342100	Airconditioning and Refrigeration Mechanics
342111	Airconditioning and Refrigeration Mechanic
342200	Electrical Distribution Trades Workers
342211	Electrical Linesworker (Aus) / Electrical Line Mechanic (NZ)
342212	Technical Cable Jointer
342300	Electronics Trades Workers
342311	Business Machine Mechanic
342312	Communications Operator
342313	Electronic Equipment Trades Worker
342314	Electronic Instrument Trades Worker (General)
342315	Electronic Instrument Trades Worker (Special Class)
342400	Telecommunications Trades Workers
342411	Cabler (Data and Telecommunications)
342412	Telecommunications Cable Jointer
342413	Telecommunications Linesworker (Aus) / Telecommunications Line Mechanic (NZ)
342414	Telecommunications Technician
350000	Food Trades Workers
351000	Food Trades Workers
351100	Bakers and Pastrycooks
351111	Baker
351112	Pastrycook
351200	Butchers and Smallgoods Makers
351211	Butcher or Smallgoods Maker
351300	Chefs
351311	Chef
351400	Cooks
351411	Cook
360000	Skilled Animal and Horticultural Workers
361000	Animal Attendants and Trainers, and Shearers
361100	Animal Attendants and Trainers
361111	Dog Handler or Trainer
361112	Horse Trainer
361113	Pet Groomer
361114	Zookeeper
361199	Animal Attendants and Trainers nec
361200	Shearers
361211	Shearer
361300	Veterinary Nurses
361311	Veterinary Nurse
362000	Horticultural Trades Workers
362100	Florists
362111	Florist
362200	Gardeners
362211	Gardener (General)
362212	Arborist
362213	Landscape Gardener
362300	Greenkeepers
362311	Greenkeeper
362400	Nurserypersons
362411	Nurseryperson
390000	Other Technicians and Trades Workers
391000	Hairdressers
391100	Hairdressers
391111	Hairdresser
392000	Printing Trades Workers
392100	Binders, Finishers and Screen Printers
392100	Print Finishers and Screen Printers
392111	Binder and Finisher
392111	Print Finisher
392112	Screen Printer
392200	Graphic Pre-press Trades Workers
392211	Graphic Pre-press Trades Worker
392300	Printers
392311	Printing Machinist
392312	Small Offset Printer
393000	Textile, Clothing and Footwear Trades Workers
393100	Canvas and Leather Goods Makers
393111	Canvas Goods Fabricator
393112	Leather Goods Maker
393113	Sail Maker
393114	Shoemaker
393200	Clothing Trades Workers
393211	Apparel Cutter
393212	Clothing Patternmaker
393213	Dressmaker or Tailor
393299	Clothing Trades Workers nec
393300	Upholsterers
393311	Upholsterer
394000	Wood Trades Workers
394100	Cabinetmakers
394111	Cabinetmaker
394200	Wood Machinists and Other Wood Trades Workers
394211	Furniture Finisher
394212	Picture Framer
394213	Wood Machinist
394214	Wood Turner
394299	Wood Machinists and Other Wood Trades Workers nec
399000	Miscellaneous Technicians and Trades Workers
399100	Boat Builders and Shipwrights
399111	Boat Builder and Repairer
399112	Shipwright
399200	Chemical, Gas, Petroleum and Power Generation Plant Operators
399211	Chemical Plant Operator
399212	Gas or Petroleum Operator
399213	Power Generation Plant Operator
399300	Gallery, Library and Museum Technicians
399311	Gallery or Museum Technician
399312	Library Technician
399400	Jewellers
399411	Jeweller
399500	Performing Arts Technicians
399511	Broadcast Transmitter Operator
399512	Camera Operator (Film, Television or Video)
399513	Light Technician
399514	Make Up Artist
399515	Musical Instrument Maker or Repairer
399516	Sound Technician
399517	Television Equipment Operator
399599	Performing Arts Technicians nec
399600	Signwriters
399611	Signwriter
399900	Other Miscellaneous Technicians and Trades Workers
399911	Diver
399912	Interior Decorator
399913	Optical Dispenser (Aus) / Dispensing Optician (NZ)
399914	Optical Mechanic
399915	Photographer's Assistant
399916	Plastics Technician
399917	Wool Classer
399918	Fire Protection Equipment Tecnician
399999	Technicians and Trades Workers nec
400000	COMMUNITY AND PERSONAL SERVICE WORKERS
410000	Health and Welfare Support Workers
411000	Health and Welfare Support Workers
411100	Ambulance Officers and Paramedics
411111	Ambulance Officer
411112	Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)
411200	Dental Hygienists, Technicians and Therapists
411211	Dental Hygienist
411212	Dental Prosthetist
411213	Dental Technician
411214	Dental Therapist
411300	Diversional Therapists
411311	Diversional Therapist
411400	Enrolled and Mothercraft Nurses
411411	Enrolled Nurse
411412	Mothercraft Nurse
411500	Indigenous Health Workers
411511	Aboriginal and Torres Strait Islander Health Worker
411512	Kaiawhina (Hauora) (Maori Health Assistant)
411600	Massage Therapists
411611	Massage Therapist
411700	Welfare Support Workers
411711	Community Worker
411712	Disabilities Services Officer
411713	Family Support Worker
411714	Parole or Probation Officer
411715	Residential Care Officer
411716	Youth Worker
420000	Carers and Aides
421000	Child Carers
421100	Child Carers
421111	Child Care Worker
421112	Family Day Care Worker
421113	Nanny
421114	Out of School Hours Care Worker
422000	Education Aides
422100	Education Aides
422111	Aboriginal and Torres Strait Islander Education Worker
422112	Integration Aide
422113	Kaiawhina Kohanga Reo (Maori Language Nest Assistant)
422114	Kaiawhina Kura Kaupapa Maori (Maori-medium School Assistant)
422115	Preschool Aide
422116	Teachers' Aide
423000	Personal Carers and Assistants
423100	Aged and Disabled Carers
423111	Aged or Disabled Carer
423200	Dental Assistants
423211	Dental Assistant
423300	Nursing Support and Personal Care Workers
423311	Hospital Orderly
423312	Nursing Support Worker
423313	Personal Care Assistant
423314	Therapy Aide
423400	Special Care Workers
423411	Child or Youth Residential Care Assistant
423412	Hostel Parent
423413	Refuge Worker
430000	Hospitality Workers
431000	Hospitality Workers
431100	Bar Attendants and Baristas
431111	Bar Attendant
431112	Barista
431200	Cafe Workers
431211	Cafe Worker
431300	Gaming Workers
431311	Gaming Worker
431400	Hotel Service Managers
431411	Hotel Service Manager
431500	Waiters
431511	Waiter
431900	Other Hospitality Workers
431911	Bar Useful or Busser
431912	Doorperson or Luggage Porter
431999	Hospitality Workers nec
440000	Protective Service Workers
441000	Defence Force Members, Fire Fighters and Police
441100	Defence Force Members - Other Ranks
441111	Defence Force Member - Other Ranks
441200	Fire and Emergency Workers
441211	Emergency Service Worker
441212	Fire Fighter
441300	Police
441311	Detective
441312	Police Officer
442000	Prison and Security Officers
442100	Prison Officers
442111	Prison Officer
442200	Security Officers and Guards
442211	Alarm, Security or Surveillance Monitor
442212	Armoured Car Escort
442213	Crowd Controller
442214	Private Investigator
442215	Retail Loss Prevention Officer
442216	Security Consultant
442217	Security Officer
442299	Security Officers and Guards nec
450000	Sports and Personal Service Workers
451000	Personal Service and Travel Workers
451100	Beauty Therapists
451111	Beauty Therapist
451185	First Aid Trainer
451186	Religious Assistant
451200	Driving Instructors
451211	Driving Instructor
451300	Funeral Workers
451311	Funeral Director
451399	Funeral Workers nec
451400	Gallery, Museum and Tour Guides
451411	Gallery or Museum Guide
451412	Tour Guide
451500	Personal Care Consultants
451511	Natural Remedy Consultant
451512	Weight Loss Consultant
451600	Tourism and Travel Advisers
451611	Tourist Information Officer
