Year,SA3_MAIN11,SA3_NAME11,Estimated_resident_population
2002,10302,Lachlan Valley,58617
2003,10302,Lachlan Valley,58047
2004,10302,Lachlan Valley,57398
2005,10302,Lachlan Valley,56970
2006,10302,Lachlan Valley,56674
2007,10302,Lachlan Valley,56436
2008,10302,Lachlan Valley,56218
2009,10302,Lachlan Valley,56242
2010,10302,Lachlan Valley,56397
2011,10302,Lachlan Valley,56545
2012,10302,Lachlan Valley,56553
2013,10302,Lachlan Valley,56560
2014,10302,Lachlan Valley,56577
2015,10302,Lachlan Valley,56517
2016,10302,Lachlan Valley,56416
1991,10303,Lithgow - Mudgee,43227
1992,10303,Lithgow - Mudgee,43364
1993,10303,Lithgow - Mudgee,43381
1994,10303,Lithgow - Mudgee,43409
1995,10303,Lithgow - Mudgee,43427
1996,10303,Lithgow - Mudgee,43392
1997,10303,Lithgow - Mudgee,43371
1998,10303,Lithgow - Mudgee,43345
1999,10303,Lithgow - Mudgee,43624
2000,10303,Lithgow - Mudgee,43593
2001,10303,Lithgow - Mudgee,43738
2002,10303,Lithgow - Mudgee,43619
2003,10303,Lithgow - Mudgee,43462
2004,10303,Lithgow - Mudgee,43349
2005,10303,Lithgow - Mudgee,43175
2006,10303,Lithgow - Mudgee,43119
2007,10303,Lithgow - Mudgee,43465
2008,10303,Lithgow - Mudgee,43837
2009,10303,Lithgow - Mudgee,44438
2010,10303,Lithgow - Mudgee,44927
2011,10303,Lithgow - Mudgee,45360
2012,10303,Lithgow - Mudgee,45884
2013,10303,Lithgow - Mudgee,46380
2014,10303,Lithgow - Mudgee,46897
2015,10303,Lithgow - Mudgee,47343
2016,10303,Lithgow - Mudgee,47572
1991,10304,Orange,48674
1992,10304,Orange,49161
1993,10304,Orange,49512
1994,10304,Orange,49625
1995,10304,Orange,49588
1996,10304,Orange,49636
1997,10304,Orange,50036
1998,10304,Orange,50836
1999,10304,Orange,51464
2000,10304,Orange,51902
2001,10304,Orange,52288
2002,10304,Orange,52448
2003,10304,Orange,52513
2004,10304,Orange,52311
2005,10304,Orange,52328
2006,10304,Orange,52482
2007,10304,Orange,53053
2008,10304,Orange,53725
2009,10304,Orange,54493
2010,10304,Orange,55353
2011,10304,Orange,56318
2012,10304,Orange,56913
2013,10304,Orange,57494
2014,10304,Orange,58136
2015,10304,Orange,58478
2016,10304,Orange,58991
1991,10401,Clarence Valley,43043
1992,10401,Clarence Valley,43844
1993,10401,Clarence Valley,44249
1994,10401,Clarence Valley,44781
1995,10401,Clarence Valley,45208
1996,10401,Clarence Valley,45589
1997,10401,Clarence Valley,46302
1998,10401,Clarence Valley,46951
1999,10401,Clarence Valley,47115
2000,10401,Clarence Valley,47390
2001,10401,Clarence Valley,47789
2002,10401,Clarence Valley,47964
2003,10401,Clarence Valley,48065
2004,10401,Clarence Valley,48211
2005,10401,Clarence Valley,48450
2006,10401,Clarence Valley,48737
2007,10401,Clarence Valley,49151
2008,10401,Clarence Valley,49400
2009,10401,Clarence Valley,49991
2010,10401,Clarence Valley,50573
2011,10401,Clarence Valley,50847
2012,10401,Clarence Valley,50884
2013,10401,Clarence Valley,50938
2014,10401,Clarence Valley,50966
2015,10401,Clarence Valley,50971
2016,10401,Clarence Valley,50961
1991,10402,Coffs Harbour,64184
1992,10402,Coffs Harbour,65597
1993,10402,Coffs Harbour,67181
1994,10402,Coffs Harbour,68754
1995,10402,Coffs Harbour,70324
1996,10402,Coffs Harbour,71325
1997,10402,Coffs Harbour,72206
1998,10402,Coffs Harbour,72817
1999,10402,Coffs Harbour,73777
2000,10402,Coffs Harbour,74864
2001,10402,Coffs Harbour,75674
2002,10402,Coffs Harbour,76677
2003,10402,Coffs Harbour,77723
2004,10402,Coffs Harbour,78540
2005,10402,Coffs Harbour,79042
2006,10402,Coffs Harbour,79785
2007,10402,Coffs Harbour,80713
2008,10402,Coffs Harbour,81779
2009,10402,Coffs Harbour,82637
2010,10402,Coffs Harbour,83684
2011,10402,Coffs Harbour,84335
2012,10402,Coffs Harbour,84923
2013,10402,Coffs Harbour,85642
2014,10402,Coffs Harbour,86366
2015,10402,Coffs Harbour,87089
2016,10402,Coffs Harbour,87943
1991,10501,Bourke - Cobar - Coonamble,31961
1992,10501,Bourke - Cobar - Coonamble,32041
1993,10501,Bourke - Cobar - Coonamble,31933
1994,10501,Bourke - Cobar - Coonamble,31890
1995,10501,Bourke - Cobar - Coonamble,31681
1996,10501,Bourke - Cobar - Coonamble,31565
1997,10501,Bourke - Cobar - Coonamble,31535
1998,10501,Bourke - Cobar - Coonamble,31262
1999,10501,Bourke - Cobar - Coonamble,30995
2000,10501,Bourke - Cobar - Coonamble,30713
2001,10501,Bourke - Cobar - Coonamble,30532
2002,10501,Bourke - Cobar - Coonamble,29914
2003,10501,Bourke - Cobar - Coonamble,29147
2004,10501,Bourke - Cobar - Coonamble,28413
2005,10501,Bourke - Cobar - Coonamble,27835
2006,10501,Bourke - Cobar - Coonamble,27289
2007,10501,Bourke - Cobar - Coonamble,26946
2008,10501,Bourke - Cobar - Coonamble,26696
2009,10501,Bourke - Cobar - Coonamble,26665
2010,10501,Bourke - Cobar - Coonamble,26686
2011,10501,Bourke - Cobar - Coonamble,26498
2012,10501,Bourke - Cobar - Coonamble,26245
2013,10501,Bourke - Cobar - Coonamble,25944
2014,10501,Bourke - Cobar - Coonamble,25698
2015,10501,Bourke - Cobar - Coonamble,25386
2016,10501,Bourke - Cobar - Coonamble,25059
1991,10502,Broken Hill and Far West,28275
1992,10502,Broken Hill and Far West,27890
1993,10502,Broken Hill and Far West,27378
1994,10502,Broken Hill and Far West,26699
1995,10502,Broken Hill and Far West,25864
1996,10502,Broken Hill and Far West,25300
1997,10502,Broken Hill and Far West,25042
1998,10502,Broken Hill and Far West,24934
1999,10502,Broken Hill and Far West,24761
2000,10502,Broken Hill and Far West,24366
2001,10502,Broken Hill and Far West,24208
2002,10502,Broken Hill and Far West,23832
2003,10502,Broken Hill and Far West,23424
2004,10502,Broken Hill and Far West,23055
2005,10502,Broken Hill and Far West,22768
2006,10502,Broken Hill and Far West,22491
2007,10502,Broken Hill and Far West,22447
2008,10502,Broken Hill and Far West,22343
2009,10502,Broken Hill and Far West,22180
2010,10502,Broken Hill and Far West,22041
2011,10502,Broken Hill and Far West,21937
2012,10502,Broken Hill and Far West,21714
2013,10502,Broken Hill and Far West,21479
2014,10502,Broken Hill and Far West,21249
2015,10502,Broken Hill and Far West,20919
2016,10502,Broken Hill and Far West,20598
1991,10503,Dubbo,65389
1992,10503,Dubbo,66424
1993,10503,Dubbo,66770
1994,10503,Dubbo,67137
1995,10503,Dubbo,67023
1996,10503,Dubbo,66869
1997,10503,Dubbo,67081
1998,10503,Dubbo,67491
1999,10503,Dubbo,68196
2000,10503,Dubbo,68395
2001,10503,Dubbo,68842
2002,10503,Dubbo,68585
2003,10503,Dubbo,68193
2004,10503,Dubbo,67861
2005,10503,Dubbo,67635
2006,10503,Dubbo,67538
2007,10503,Dubbo,67629
2008,10503,Dubbo,68306
2009,10503,Dubbo,68944
2010,10503,Dubbo,69491
2011,10503,Dubbo,69556
2012,10503,Dubbo,69735
2013,10503,Dubbo,69961
2014,10503,Dubbo,70400
2015,10503,Dubbo,70770
2016,10503,Dubbo,71138
1991,10601,Lower Hunter,72171
1992,10601,Lower Hunter,72406
1993,10601,Lower Hunter,72539
1994,10601,Lower Hunter,72798
1995,10601,Lower Hunter,73150
1996,10601,Lower Hunter,73742
1997,10601,Lower Hunter,74354
1998,10601,Lower Hunter,74891
1999,10601,Lower Hunter,75406
2000,10601,Lower Hunter,75894
2001,10601,Lower Hunter,76441
2002,10601,Lower Hunter,76970
2003,10601,Lower Hunter,77460
2004,10601,Lower Hunter,77724
2005,10601,Lower Hunter,78219
2006,10601,Lower Hunter,78679
2007,10601,Lower Hunter,79735
2008,10601,Lower Hunter,80922
2009,10601,Lower Hunter,82002
2010,10601,Lower Hunter,83327
2011,10601,Lower Hunter,84692
2012,10601,Lower Hunter,85709
2013,10601,Lower Hunter,86853
2014,10601,Lower Hunter,87866
2015,10601,Lower Hunter,88759
2016,10601,Lower Hunter,89621
1991,10602,Maitland,44916
1992,10602,Maitland,45329
1993,10602,Maitland,45807
1994,10602,Maitland,46330
1995,10602,Maitland,46924
1996,10602,Maitland,47536
1997,10602,Maitland,48447
1998,10602,Maitland,49315
1999,10602,Maitland,50180
2000,10602,Maitland,51352
2001,10602,Maitland,52324
2002,10602,Maitland,53927
2003,10602,Maitland,55458
2004,10602,Maitland,56753
2005,10602,Maitland,58337
2006,10602,Maitland,59934
2007,10602,Maitland,61670
2008,10602,Maitland,62840
2009,10602,Maitland,63895
2010,10602,Maitland,65097
2011,10602,Maitland,66540
2012,10602,Maitland,68752
2013,10602,Maitland,70696
2014,10602,Maitland,72667
2015,10602,Maitland,74431
2016,10602,Maitland,76134
1991,10603,Port Stephens,46264
1992,10603,Port Stephens,47478
1993,10603,Port Stephens,49225
1994,10603,Port Stephens,50627
1995,10603,Port Stephens,52283
1996,10603,Port Stephens,53764
1997,10603,Port Stephens,55262
1998,10603,Port Stephens,56548
1999,10603,Port Stephens,57957
2000,10603,Port Stephens,59572
2001,10603,Port Stephens,61044
2002,10603,Port Stephens,62087
2003,10603,Port Stephens,63336
2004,10603,Port Stephens,64088
2005,10603,Port Stephens,64784
2006,10603,Port Stephens,64829
2007,10603,Port Stephens,66155
2008,10603,Port Stephens,67099
2009,10603,Port Stephens,68138
2010,10603,Port Stephens,69289
2011,10603,Port Stephens,70039
2012,10603,Port Stephens,70739
2013,10603,Port Stephens,71298
2014,10603,Port Stephens,71860
2015,10603,Port Stephens,72396
2016,10603,Port Stephens,73036
1991,10604,Upper Hunter,29016
1992,10604,Upper Hunter,29095
1993,10604,Upper Hunter,29155
1994,10604,Upper Hunter,29196
1995,10604,Upper Hunter,29111
1996,10604,Upper Hunter,29038
1997,10604,Upper Hunter,28976
1998,10604,Upper Hunter,28792
1999,10604,Upper Hunter,28618
2000,10604,Upper Hunter,28454
2001,10604,Upper Hunter,28529
2002,10604,Upper Hunter,28754
2003,10604,Upper Hunter,28737
2004,10604,Upper Hunter,28637
2005,10604,Upper Hunter,28748
2006,10604,Upper Hunter,28972
2007,10604,Upper Hunter,29087
2008,10604,Upper Hunter,29348
2009,10604,Upper Hunter,29679
2010,10604,Upper Hunter,30091
2011,10604,Upper Hunter,30534
2012,10604,Upper Hunter,30812
2013,10604,Upper Hunter,30968
2014,10604,Upper Hunter,31002
2015,10604,Upper Hunter,30929
2016,10604,Upper Hunter,30877
1991,10701,Dapto - Port Kembla,69510
1992,10701,Dapto - Port Kembla,69354
1993,10701,Dapto - Port Kembla,69203
1994,10701,Dapto - Port Kembla,69189
1995,10701,Dapto - Port Kembla,69298
1996,10701,Dapto - Port Kembla,69879
1997,10701,Dapto - Port Kembla,70096
1998,10701,Dapto - Port Kembla,70749
1999,10701,Dapto - Port Kembla,71340
2000,10701,Dapto - Port Kembla,71638
2001,10701,Dapto - Port Kembla,72302
2002,10701,Dapto - Port Kembla,72678
2003,10701,Dapto - Port Kembla,72874
2004,10701,Dapto - Port Kembla,72980
2005,10701,Dapto - Port Kembla,72762
2006,10701,Dapto - Port Kembla,72762
2007,10701,Dapto - Port Kembla,73271
2008,10701,Dapto - Port Kembla,73903
2009,10701,Dapto - Port Kembla,74510
2010,10701,Dapto - Port Kembla,75209
2011,10701,Dapto - Port Kembla,75330
2012,10701,Dapto - Port Kembla,75643
2013,10701,Dapto - Port Kembla,76110
2014,10701,Dapto - Port Kembla,76689
2015,10701,Dapto - Port Kembla,77404
2016,10701,Dapto - Port Kembla,77934
1991,10702,Illawarra Catchment Reserve,13
1992,10702,Illawarra Catchment Reserve,13
1993,10702,Illawarra Catchment Reserve,13
1994,10702,Illawarra Catchment Reserve,13
1995,10702,Illawarra Catchment Reserve,13
1996,10702,Illawarra Catchment Reserve,13
1997,10702,Illawarra Catchment Reserve,13
1998,10702,Illawarra Catchment Reserve,13
1999,10702,Illawarra Catchment Reserve,13
2000,10702,Illawarra Catchment Reserve,13
2001,10702,Illawarra Catchment Reserve,13
2002,10702,Illawarra Catchment Reserve,13
2003,10702,Illawarra Catchment Reserve,13
2004,10702,Illawarra Catchment Reserve,13
2005,10702,Illawarra Catchment Reserve,13
2006,10702,Illawarra Catchment Reserve,13
2007,10702,Illawarra Catchment Reserve,13
2008,10702,Illawarra Catchment Reserve,13
2009,10702,Illawarra Catchment Reserve,13
2010,10702,Illawarra Catchment Reserve,13
2011,10702,Illawarra Catchment Reserve,13
2012,10702,Illawarra Catchment Reserve,11
2013,10702,Illawarra Catchment Reserve,10
2014,10702,Illawarra Catchment Reserve,8
2015,10702,Illawarra Catchment Reserve,7
2016,10702,Illawarra Catchment Reserve,5
1991,10703,Kiama - Shellharbour,64753
1992,10703,Kiama - Shellharbour,66465
1993,10703,Kiama - Shellharbour,67950
1994,10703,Kiama - Shellharbour,69297
1995,10703,Kiama - Shellharbour,70860
1996,10703,Kiama - Shellharbour,72024
1997,10703,Kiama - Shellharbour,73501
1998,10703,Kiama - Shellharbour,74680
1999,10703,Kiama - Shellharbour,76168
2000,10703,Kiama - Shellharbour,77721
2001,10703,Kiama - Shellharbour,79109
2002,10703,Kiama - Shellharbour,79844
2003,10703,Kiama - Shellharbour,80623
2004,10703,Kiama - Shellharbour,81015
2005,10703,Kiama - Shellharbour,81437
2006,10703,Kiama - Shellharbour,81794
2007,10703,Kiama - Shellharbour,82623
2008,10703,Kiama - Shellharbour,83828
2009,10703,Kiama - Shellharbour,84940
2010,10703,Kiama - Shellharbour,86058
2011,10703,Kiama - Shellharbour,86959
2012,10703,Kiama - Shellharbour,87808
2013,10703,Kiama - Shellharbour,88934
2014,10703,Kiama - Shellharbour,90283
2015,10703,Kiama - Shellharbour,91397
2016,10703,Kiama - Shellharbour,92470
1991,10704,Wollongong,110606
1992,10704,Wollongong,110939
1993,10704,Wollongong,111186
1994,10704,Wollongong,111507
1995,10704,Wollongong,112215
1996,10704,Wollongong,113220
1997,10704,Wollongong,113953
1998,10704,Wollongong,114099
1999,10704,Wollongong,114599
2000,10704,Wollongong,115120
2001,10704,Wollongong,115960
2002,10704,Wollongong,117160
2003,10704,Wollongong,117588
2004,10704,Wollongong,117648
2005,10704,Wollongong,117946
2006,10704,Wollongong,118134
2007,10704,Wollongong,119486
2008,10704,Wollongong,121521
2009,10704,Wollongong,123364
2010,10704,Wollongong,125246
2011,10704,Wollongong,126725
2012,10704,Wollongong,127658
2013,10704,Wollongong,129009
2014,10704,Wollongong,130368
2015,10704,Wollongong,131742
2016,10704,Wollongong,133292
1991,10801,Great Lakes,22714
1992,10801,Great Lakes,23376
1993,10801,Great Lakes,23928
1994,10801,Great Lakes,24404
1995,10801,Great Lakes,25023
1996,10801,Great Lakes,25580
1997,10801,Great Lakes,26249
1998,10801,Great Lakes,26843
1999,10801,Great Lakes,27088
2000,10801,Great Lakes,27580
2001,10801,Great Lakes,28094
2002,10801,Great Lakes,28489
2003,10801,Great Lakes,28719
2004,10801,Great Lakes,29094
2005,10801,Great Lakes,29244
2006,10801,Great Lakes,29321
2007,10801,Great Lakes,29705
2008,10801,Great Lakes,29894
2009,10801,Great Lakes,30285
2010,10801,Great Lakes,30706
2011,10801,Great Lakes,30967
2012,10801,Great Lakes,31087
2013,10801,Great Lakes,31269
2014,10801,Great Lakes,31442
2015,10801,Great Lakes,31627
2016,10801,Great Lakes,31895
1991,10802,Kempsey - Nambucca,42168
1992,10802,Kempsey - Nambucca,42978
1993,10802,Kempsey - Nambucca,43245
1994,10802,Kempsey - Nambucca,43755
1995,10802,Kempsey - Nambucca,43984
1996,10802,Kempsey - Nambucca,44094
1997,10802,Kempsey - Nambucca,44421
1998,10802,Kempsey - Nambucca,44831
1999,10802,Kempsey - Nambucca,44948
2000,10802,Kempsey - Nambucca,44976
2001,10802,Kempsey - Nambucca,45235
2002,10802,Kempsey - Nambucca,45369
2003,10802,Kempsey - Nambucca,45378
2004,10802,Kempsey - Nambucca,45814
2005,10802,Kempsey - Nambucca,46332
2006,10802,Kempsey - Nambucca,46389
2007,10802,Kempsey - Nambucca,46742
2008,10802,Kempsey - Nambucca,47203
2009,10802,Kempsey - Nambucca,47724
2010,10802,Kempsey - Nambucca,48176
2011,10802,Kempsey - Nambucca,48418
2012,10802,Kempsey - Nambucca,48578
2013,10802,Kempsey - Nambucca,48746
2014,10802,Kempsey - Nambucca,48892
2015,10802,Kempsey - Nambucca,48959
2016,10802,Kempsey - Nambucca,49005
1991,10803,Lord Howe Island,356
1992,10803,Lord Howe Island,355
1993,10803,Lord Howe Island,358
1994,10803,Lord Howe Island,350
1995,10803,Lord Howe Island,332
1996,10803,Lord Howe Island,331
1997,10803,Lord Howe Island,337
1998,10803,Lord Howe Island,324
1999,10803,Lord Howe Island,360
2000,10803,Lord Howe Island,363
2001,10803,Lord Howe Island,363
2002,10803,Lord Howe Island,364
2003,10803,Lord Howe Island,359
2004,10803,Lord Howe Island,354
2005,10803,Lord Howe Island,357
2006,10803,Lord Howe Island,357
2007,10803,Lord Howe Island,364
2008,10803,Lord Howe Island,371
2009,10803,Lord Howe Island,377
2010,10803,Lord Howe Island,385
2011,10803,Lord Howe Island,392
2012,10803,Lord Howe Island,399
2013,10803,Lord Howe Island,397
2014,10803,Lord Howe Island,402
2015,10803,Lord Howe Island,409
2016,10803,Lord Howe Island,412
1991,10804,Port Macquarie,49469
1992,10804,Port Macquarie,51155
1993,10804,Port Macquarie,52557
1994,10804,Port Macquarie,54356
1995,10804,Port Macquarie,56152
1996,10804,Port Macquarie,57150
1997,10804,Port Macquarie,58266
1998,10804,Port Macquarie,60110
1999,10804,Port Macquarie,61708
2000,10804,Port Macquarie,63448
2001,10804,Port Macquarie,64874
2002,10804,Port Macquarie,66481
2003,10804,Port Macquarie,67820
2004,10804,Port Macquarie,68931
2005,10804,Port Macquarie,69633
2006,10804,Port Macquarie,69963
2007,10804,Port Macquarie,71109
2008,10804,Port Macquarie,72523
2009,10804,Port Macquarie,73296
2010,10804,Port Macquarie,74432
2011,10804,Port Macquarie,75266
2012,10804,Port Macquarie,76290
2013,10804,Port Macquarie,77027
2014,10804,Port Macquarie,78025
2015,10804,Port Macquarie,78950
2016,10804,Port Macquarie,79929
1991,10805,Taree - Gloucester,46368
1992,10805,Taree - Gloucester,46970
1993,10805,Taree - Gloucester,47461
1994,10805,Taree - Gloucester,48027
1995,10805,Taree - Gloucester,48278
1996,10805,Taree - Gloucester,48401
1997,10805,Taree - Gloucester,48532
1998,10805,Taree - Gloucester,48740
1999,10805,Taree - Gloucester,49099
2000,10805,Taree - Gloucester,49298
2001,10805,Taree - Gloucester,49425
2002,10805,Taree - Gloucester,49733
2003,10805,Taree - Gloucester,50264
2004,10805,Taree - Gloucester,50640
2005,10805,Taree - Gloucester,50935
2006,10805,Taree - Gloucester,50987
2007,10805,Taree - Gloucester,51317
2008,10805,Taree - Gloucester,51696
2009,10805,Taree - Gloucester,52107
2010,10805,Taree - Gloucester,52607
2011,10805,Taree - Gloucester,53047
2012,10805,Taree - Gloucester,53351
2013,10805,Taree - Gloucester,53742
2014,10805,Taree - Gloucester,54073
2015,10805,Taree - Gloucester,54418
2016,10805,Taree - Gloucester,54761
1991,10901,Albury,52210
1992,10901,Albury,52635
1993,10901,Albury,52891
1994,10901,Albury,53282
1995,10901,Albury,53689
1996,10901,Albury,54031
1997,10901,Albury,54333
1998,10901,Albury,54627
1999,10901,Albury,54896
2000,10901,Albury,55178
2001,10901,Albury,55583
2002,10901,Albury,55982
2003,10901,Albury,56246
2004,10901,Albury,56529
2005,10901,Albury,56993
2006,10901,Albury,57456
2007,10901,Albury,58004
2008,10901,Albury,58373
2009,10901,Albury,58684
2010,10901,Albury,59068
2011,10901,Albury,59337
2012,10901,Albury,59769
2013,10901,Albury,60386
2014,10901,Albury,61160
2015,10901,Albury,61790
2016,10901,Albury,62504
1991,10902,Lower Murray,14794
1992,10902,Lower Murray,14765
1993,10902,Lower Murray,14705
1994,10902,Lower Murray,14605
1995,10902,Lower Murray,14540
1996,10902,Lower Murray,14550
1997,10902,Lower Murray,14483
1998,10902,Lower Murray,14441
1999,10902,Lower Murray,14347
2000,10902,Lower Murray,14153
2001,10902,Lower Murray,14120
2002,10902,Lower Murray,13975
2003,10902,Lower Murray,13806
2004,10902,Lower Murray,13616
2005,10902,Lower Murray,13512
2006,10902,Lower Murray,13437
2007,10902,Lower Murray,13279
2008,10902,Lower Murray,13162
2009,10902,Lower Murray,13030
2010,10902,Lower Murray,12958
2011,10902,Lower Murray,12824
2012,10902,Lower Murray,12787
2013,10902,Lower Murray,12769
2014,10902,Lower Murray,12777
2015,10902,Lower Murray,12753
2016,10902,Lower Murray,12737
1991,10903,Upper Murray exc. Albury,41093
1992,10903,Upper Murray exc. Albury,41291
1993,10903,Upper Murray exc. Albury,41344
1994,10903,Upper Murray exc. Albury,41247
1995,10903,Upper Murray exc. Albury,41249
1996,10903,Upper Murray exc. Albury,41405
1997,10903,Upper Murray exc. Albury,41566
1998,10903,Upper Murray exc. Albury,41618
1999,10903,Upper Murray exc. Albury,41775
2000,10903,Upper Murray exc. Albury,41705
2001,10903,Upper Murray exc. Albury,42032
2002,10903,Upper Murray exc. Albury,41915
2003,10903,Upper Murray exc. Albury,41719
2004,10903,Upper Murray exc. Albury,41481
2005,10903,Upper Murray exc. Albury,41436
2006,10903,Upper Murray exc. Albury,41676
2007,10903,Upper Murray exc. Albury,41767
2008,10903,Upper Murray exc. Albury,41706
