Year,SA3_MAIN11,SA3_NAME11,Estimated_resident_population
1991,10101,Goulburn - Yass,61667
1992,10101,Goulburn - Yass,61751
1993,10101,Goulburn - Yass,61706
1994,10101,Goulburn - Yass,61651
1995,10101,Goulburn - Yass,61602
1996,10101,Goulburn - Yass,61786
1997,10101,Goulburn - Yass,61968
1998,10101,Goulburn - Yass,62283
1999,10101,Goulburn - Yass,62576
2000,10101,Goulburn - Yass,62952
2001,10101,Goulburn - Yass,63370
2002,10101,Goulburn - Yass,63784
2003,10101,Goulburn - Yass,64245
2004,10101,Goulburn - Yass,64550
2005,10101,Goulburn - Yass,64891
2006,10101,Goulburn - Yass,65284
2007,10101,Goulburn - Yass,65807
2008,10101,Goulburn - Yass,66670
2009,10101,Goulburn - Yass,67745
2010,10101,Goulburn - Yass,68950
2011,10101,Goulburn - Yass,69775
2012,10101,Goulburn - Yass,70520
2013,10101,Goulburn - Yass,71153
2014,10101,Goulburn - Yass,71774
2015,10101,Goulburn - Yass,72363
2016,10101,Goulburn - Yass,73003
1991,10102,Queanbeyan,35281
1992,10102,Queanbeyan,36409
1993,10102,Queanbeyan,37298
1994,10102,Queanbeyan,38190
1995,10102,Queanbeyan,38936
1996,10102,Queanbeyan,39563
1997,10102,Queanbeyan,40322
1998,10102,Queanbeyan,40883
1999,10102,Queanbeyan,42104
2000,10102,Queanbeyan,44026
2001,10102,Queanbeyan,45224
2002,10102,Queanbeyan,46614
2003,10102,Queanbeyan,48109
2004,10102,Queanbeyan,48820
2005,10102,Queanbeyan,49919
2006,10102,Queanbeyan,51118
2007,10102,Queanbeyan,52101
2008,10102,Queanbeyan,53273
2009,10102,Queanbeyan,54354
2010,10102,Queanbeyan,55410
2011,10102,Queanbeyan,56051
2012,10102,Queanbeyan,56730
2013,10102,Queanbeyan,57345
2014,10102,Queanbeyan,58059
2015,10102,Queanbeyan,58733
2016,10102,Queanbeyan,59472
1991,10103,Snowy Mountains,18092
1992,10103,Snowy Mountains,18263
1993,10103,Snowy Mountains,18362
1994,10103,Snowy Mountains,18477
1995,10103,Snowy Mountains,18568
1996,10103,Snowy Mountains,18699
1997,10103,Snowy Mountains,18589
1998,10103,Snowy Mountains,18706
1999,10103,Snowy Mountains,18826
2000,10103,Snowy Mountains,18748
2001,10103,Snowy Mountains,18810
2002,10103,Snowy Mountains,19005
2003,10103,Snowy Mountains,19084
2004,10103,Snowy Mountains,19128
2005,10103,Snowy Mountains,19205
2006,10103,Snowy Mountains,19337
2007,10103,Snowy Mountains,19413
2008,10103,Snowy Mountains,19440
2009,10103,Snowy Mountains,19501
2010,10103,Snowy Mountains,19577
2011,10103,Snowy Mountains,19595
2012,10103,Snowy Mountains,19625
2013,10103,Snowy Mountains,19659
2014,10103,Snowy Mountains,19688
2015,10103,Snowy Mountains,19707
2016,10103,Snowy Mountains,19740
1991,10104,South Coast,53440
1992,10104,South Coast,54889
1993,10104,South Coast,55973
1994,10104,South Coast,57127
1995,10104,South Coast,57799
1996,10104,South Coast,58677
1997,10104,South Coast,59581
1998,10104,South Coast,60599
1999,10104,South Coast,61743
2000,10104,South Coast,62960
2001,10104,South Coast,64093
2002,10104,South Coast,65063
2003,10104,South Coast,65941
2004,10104,South Coast,66787
2005,10104,South Coast,67299
2006,10104,South Coast,67708
2007,10104,South Coast,68319
2008,10104,South Coast,68762
2009,10104,South Coast,69214
2010,10104,South Coast,69989
2011,10104,South Coast,70407
2012,10104,South Coast,70644
2013,10104,South Coast,70918
2014,10104,South Coast,71292
2015,10104,South Coast,71712
2016,10104,South Coast,72073
1991,10201,Gosford,135708
1992,10201,Gosford,139242
1993,10201,Gosford,142034
1994,10201,Gosford,144430
1995,10201,Gosford,147027
1996,10201,Gosford,149899
1997,10201,Gosford,151861
1998,10201,Gosford,153483
1999,10201,Gosford,155897
2000,10201,Gosford,158288
2001,10201,Gosford,160596
2002,10201,Gosford,161388
2003,10201,Gosford,161458
2004,10201,Gosford,161223
2005,10201,Gosford,161462
2006,10201,Gosford,161885
2007,10201,Gosford,162975
2008,10201,Gosford,165153
2009,10201,Gosford,167081
2010,10201,Gosford,168351
2011,10201,Gosford,169018
2012,10201,Gosford,169772
2013,10201,Gosford,170501
2014,10201,Gosford,171280
2015,10201,Gosford,172214
2016,10201,Gosford,173257
1991,10202,Wyong,104122
1992,10202,Wyong,107654
1993,10202,Wyong,110404
1994,10202,Wyong,113134
1995,10202,Wyong,115558
1996,10202,Wyong,118851
1997,10202,Wyong,121670
1998,10202,Wyong,124406
1999,10202,Wyong,127424
2000,10202,Wyong,130656
2001,10202,Wyong,134000
2002,10202,Wyong,136142
2003,10202,Wyong,137861
2004,10202,Wyong,138776
2005,10202,Wyong,139941
2006,10202,Wyong,141166
2007,10202,Wyong,143524
2008,10202,Wyong,147185
2009,10202,Wyong,149715
2010,10202,Wyong,152010
2011,10202,Wyong,153639
2012,10202,Wyong,155250
2013,10202,Wyong,156835
2014,10202,Wyong,158535
2015,10202,Wyong,160277
2016,10202,Wyong,162052
1991,10301,Bathurst,36738
1992,10301,Bathurst,37164
1993,10301,Bathurst,37509
1994,10301,Bathurst,37984
1995,10301,Bathurst,38442
1996,10301,Bathurst,38792
1997,10301,Bathurst,39149
1998,10301,Bathurst,39518
1999,10301,Bathurst,39979
2000,10301,Bathurst,40308
2001,10301,Bathurst,40816
2002,10301,Bathurst,41193
2003,10301,Bathurst,41414
2004,10301,Bathurst,41503
2005,10301,Bathurst,41809
2006,10301,Bathurst,42122
2007,10301,Bathurst,42448
2008,10301,Bathurst,43100
2009,10301,Bathurst,44095
2010,10301,Bathurst,44711
2011,10301,Bathurst,45176
2012,10301,Bathurst,45586
2013,10301,Bathurst,46115
2014,10301,Bathurst,46617
2015,10301,Bathurst,47212
2016,10301,Bathurst,47783
1991,10302,Lachlan Valley,60023
1992,10302,Lachlan Valley,60213
1993,10302,Lachlan Valley,60035
1994,10302,Lachlan Valley,60038
1995,10302,Lachlan Valley,59652
1996,10302,Lachlan Valley,59383
1997,10302,Lachlan Valley,59308
1998,10302,Lachlan Valley,59248
1999,10302,Lachlan Valley,59152
2000,10302,Lachlan Valley,59010
2001,10302,Lachlan Valley,58987
