SA2,SA2 NAME,Earners,Median_age_of_earners,Total_income_all_persons,Median_income,Mean_income,P80_over_P20,P80_over_P50,P20_over_P50,P10_over_P50,Gini,Top_1pc,Top_5pc,Top_10pc,Prop_Quartile1,Prop_Quartile2,Prop_Quartile3,Prop_Quartile4
101021007,Braidwood,2133,50,101830606,38093,47741,6.34,2.01,0.32,0.11,0.515,7.7,20.3,32,32.2,26.7,21.8,19.2
101021008,Karabar,4866,43,289762288,54942,59548,3.43,1.6,0.47,0.25,0.369,4.4,14.4,24.2,17.4,24,31.7,27
101021009,Queanbeyan,6194,40,367366063,54716,59310,3.33,1.58,0.47,0.25,0.368,4.6,14.7,24.4,17.4,24.2,32,26.4
101021010,Queanbeyan - East,2971,40,186867083,55268,62897,3.53,1.63,0.46,0.24,0.394,5.6,17,27.1,17.6,23.7,30.5,28.3
101021011,Queanbeyan Region,9768,46,717452753,62857,73449,4.01,1.71,0.43,0.21,0.424,6.7,18.2,28.8,17.5,19.4,26,37.2
101021012,Queanbeyan West - Jerrabomberra,8067,43,618616023,67545,76685,3.67,1.65,0.45,0.24,0.398,5.2,16.4,26.9,15.3,18,26.1,40.6
101031013,Bombala,1358,49,67898894,42237,49999,5.14,1.79,0.35,0.16,0.459,7.3,19.4,30.1,28.9,26.7,26,18.4
101031014,Cooma,3711,47,188193949,43231,50712,4.56,1.76,0.39,0.16,0.434,5.7,18,28.8,26.3,28.6,26.5,18.7
101031015,Cooma Region,1823,49,88452143,39666,48520,5.78,1.91,0.33,0.1,0.499,7.4,20.3,31.9,30.8,27.5,23,18.7
101031016,Jindabyne - Berridale,4015,44,191710820,37861,47749,4.8,1.89,0.39,0.2,0.47,7.4,20.4,31.7,29.6,31.1,22.7,16.6
101041017,Batemans Bay,3698,51,151465867,34370,40959,4.97,1.74,0.35,0.13,0.458,7.3,20,30.9,33.7,33.6,22.2,10.5
101041018,Batemans Bay - South,4161,52,191690426,35274,46068,5.32,1.88,0.35,0.13,0.498,10.9,24.1,35.1,33.3,31.8,20.7,14.2
101041019,Bega - Tathra,4700,48,223576125,40022,47569,4.73,1.77,0.37,0.15,0.45,6.8,19.1,29.9,29.3,29,25.7,16
101041020,Bega-Eden Hinterland,4830,51,202145509,34404,41852,5.72,1.89,0.33,0.11,0.484,5.9,19.2,30.8,35.3,28.6,22.7,13.3
101041021,Broulee - Tomakin,1750,51,82568484,37191,47182,5.01,1.85,0.37,0.16,0.468,6.9,20.7,32,31.2,30.6,22.4,15.8
101041022,Deua - Wadbilliga,,,,,,,,,,,,,,,,,
101041023,Eden,1653,50,73902206,36380,44708,5.2,1.87,0.36,0.15,0.456,5.4,18.5,30.1,32,30.2,22.7,15.1
101041024,Eurobodalla Hinterland,1866,51,81680924,34788,43773,4.83,1.82,0.38,0.16,0.477,7.7,22,32.9,32.5,33.7,20.9,12.9
101041025,Merimbula - Tura Beach,6044,52,269922187,36424,44660,5.45,1.87,0.34,0.14,0.469,6.7,19.5,31,32.5,30.1,22.5,14.9
101041026,Moruya - Tuross Head,4237,52,180594948,34876,42623,5.45,1.88,0.34,0.12,0.468,6.9,19.5,30.8,33.5,31.4,21.8,13.3
101041027,Narooma - Bermagui,4572,55,183339019,30491,40100,6.69,1.94,0.29,0.09,0.53,11,24.6,36.2,39.3,31.1,18.3,11.2
101051539,Goulburn,11636,44,607994653,44894,52251,4.36,1.79,0.41,0.19,0.416,5.5,16.3,26.8,24.3,28,26.6,21.1
101051540,Goulburn Region,6861,49,348045778,40575,50728,5.57,1.93,0.35,0.11,0.492,8.3,20.8,32,29.5,27.4,23,20.1
101061541,Yass,3799,45,213849142,48955,56291,4.4,1.76,0.4,0.15,0.426,5.3,16.9,27.5,23.2,24.8,27.1,24.9
101061542,Yass Region,6710,47,446240890,54493,66504,5.03,1.86,0.37,0.15,0.464,6.8,19.5,30.6,22.4,21.6,23,33
101061543,Young,5373,45,260884383,40471,48555,4.57,1.78,0.39,0.16,0.453,6.8,19.8,30.8,27.7,31.1,24.7,16.4
101061544,Young Region,3697,49,178379783,39642,48250,5.07,1.83,0.36,0.11,0.482,6.7,20.6,32,30.2,29.1,23.5,17.1
102011028,Avoca Beach - Copacabana,4427,46,292778325,46996,66135,5.28,1.98,0.38,0.18,0.521,13.4,26.5,37.5,25.5,24.4,23,27
102011029,Box Head - MacMasters Beach,6260,49,355743857,42621,56828,5.85,2.04,0.35,0.14,0.49,7.5,21.4,33.1,29.2,25.2,21.3,24.4
102011030,Calga - Kulnura,2818,48,157983983,42105,56062,5.22,1.94,0.37,0.16,0.5,8.7,22.7,34.4,28,26.6,23.5,22
102011031,Erina - Green Point,7568,48,464630999,43481,61394,5.98,2.08,0.35,0.13,0.514,9.6,24.5,36.3,28,25.5,21.4,25.2
102011032,Gosford - Springfield,10262,42,578293221,45972,56353,4.5,1.82,0.4,0.18,0.45,7.5,19.9,30.7,24.3,26.9,26,22.8
102011033,Kariong,3538,42,197863156,47896,55925,4.19,1.78,0.43,0.21,0.402,4.4,15.5,26.1,22.2,26.3,27,24.5
102011034,Kincumber - Picketts Valley,3950,46,203291723,41642,51466,5.22,1.89,0.36,0.15,0.458,6.8,19.3,30.3,27.9,27.9,23.6,20.6
102011035,Narara,3820,43,204931962,46660,53647,4.29,1.76,0.41,0.19,0.408,4.4,15.4,26.1,23.4,26.7,27.5,22.4
