SA2,SA2 NAME,Earners,Median_age_of_earners,Total_income_all_persons,Median_income,Mean_income,P80_over_P20,P80_over_P50,P20_over_P50,P10_over_P50,Gini,Top_1pc,Top_5pc,Top_10pc,Prop_Quartile1,Prop_Quartile2,Prop_Quartile3,Prop_Quartile4
102011036,Niagara Park - Lisarow,4585,44,253242440,45762,55233,4.59,1.85,0.4,0.17,0.438,6.5,18.3,28.9,24.7,26.5,25.3,23.6
102011037,Point Clare - Koolewong,3427,46,192698191,45966,56229,5.39,1.89,0.35,0.13,0.453,6.1,18.2,29.3,26.5,24.2,23.3,26.1
102011038,Saratoga - Davistown,4022,47,216126979,43171,53736,5.21,1.97,0.38,0.15,0.454,5.7,18.2,29.4,27.3,26.6,22.7,23.5
102011039,Terrigal - North Avoca,8338,46,537637079,46422,64480,5.33,2.05,0.38,0.17,0.498,9.4,23.4,35,25.2,25.3,21.7,27.8
102011040,Umina - Booker Bay - Patonga,11708,46,576435778,40252,49234,5.06,1.89,0.37,0.14,0.453,6.4,18.5,29.8,28.7,28.5,24.3,18.6
102011041,Wamberal - Forresters Beach,5920,45,380929905,47295,64346,5.05,1.98,0.39,0.17,0.488,8.7,22.7,34.1,24.3,25.3,21.9,28.5
102011042,Woy Woy - Blackwall,6684,46,339464232,42481,50788,4.84,1.81,0.37,0.16,0.444,6.5,18.5,29.3,27.4,27.8,25.8,19.1
102011043,Wyoming,5697,44,280781043,43438,49286,4.9,1.76,0.36,0.14,0.425,5,16.2,26.9,27.6,26.2,27.3,18.8
102021044,Bateau Bay - Killarney Vale,10606,44,524333275,42469,49437,4.46,1.79,0.4,0.18,0.424,5.2,16.7,27.5,26.2,29.2,26,18.6
102021045,Blue Haven - San Remo,5005,40,234449912,42641,46843,3.82,1.64,0.43,0.21,0.386,4,14.7,25,24.7,30.9,29.6,14.8
102021046,Budgewoi - Buff Point - Halekulani,4312,45,212129119,41702,49195,4.79,1.8,0.38,0.15,0.44,5.7,18.2,29.2,27.6,29.3,25.1,17.9
102021047,Chittaway Bay - Tumbi Umbi,8348,44,442415939,45015,52997,4.15,1.75,0.42,0.2,0.423,5.6,17.4,28.2,24.2,27.7,27.7,20.4
102021048,Gorokan - Kanwal - Charmhaven,9644,44,446204871,41051,46268,4.26,1.72,0.41,0.16,0.413,4.7,16,26.7,27.2,30.7,26.8,15.4
102021049,Jilliby - Yarramalong,1990,47,127440367,44122,64040,5.34,2.08,0.39,0.15,0.521,11.7,25.5,37.1,26.7,25.5,21,26.8
102021050,Lake Munmorah - Mannering Park,4730,45,226930900,41152,47977,4.82,1.81,0.38,0.14,0.435,5.6,17.3,28.2,28.1,29.2,25.3,17.4
102021051,Ourimbah - Fountaindale,2932,44,177931589,48214,60686,4.54,1.82,0.4,0.18,0.459,7.5,21.1,32,23.6,24.9,26.2,25.3
102021052,Summerland Point - Gwandalan,2858,45,142123972,42683,49728,4.97,1.78,0.36,0.15,0.436,5.9,17.9,28.7,27.4,28.4,25.8,18.5
102021053,The Entrance,10024,43,511920965,44137,51070,3.94,1.7,0.43,0.2,0.415,5.8,17.5,27.9,23.8,29.8,28.3,18.2
102021054,Toukley - Norah Head,4320,45,210391544,39615,48702,5,1.86,0.37,0.14,0.459,7,19.4,30.5,29.4,29.5,23.5,17.6
102021055,Tuggerah - Kangy Angy,2783,42,144533448,44360,51934,4.53,1.8,0.4,0.18,0.435,5.3,17,27.9,25.3,26.9,27.2,20.7
102021056,Warnervale - Wadalba,7073,41,393712371,47983,55664,4.42,1.78,0.4,0.18,0.416,4.7,16,26.7,23.6,25.3,26.6,24.5
102021057,Wyong,3922,44,188063400,41055,47951,4.45,1.77,0.4,0.19,0.424,5.4,17.1,27.8,27.8,29.4,26.1,16.7
103011058,Bathurst,12200,43,675452949,46083,55365,4.4,1.82,0.41,0.18,0.43,6.1,17.9,28.5,23.8,27.1,25.5,23.6
103011059,Bathurst - East,5463,43,309253291,48664,56609,4.46,1.78,0.4,0.17,0.422,5.7,16.9,27.4,23.3,24.8,26.7,25.2
103011060,Bathurst Region,3874,48,211359579,44179,54558,5.44,1.92,0.35,0.13,0.467,7.1,19.2,30.2,26.6,25.7,24.1,23.6
103011061,Oberon,2460,48,124137517,44587,50462,4.68,1.73,0.37,0.13,0.433,5.2,16.7,27.2,26.3,25.6,28.3,19.8
103021062,Condobolin,3559,46,186384444,42055,52370,4.83,1.88,0.39,0.14,0.477,6.8,20,31.5,27,28,24.5,20.5
103021063,Cowra,4853,47,217663439,38330,44851,4.96,1.77,0.36,0.14,0.451,6.8,18.7,29.7,30.7,31.1,23.6,14.6
103021064,Cowra Region,2513,49,113285106,36887,45080,5.87,1.84,0.31,0.1,0.511,10.1,22.2,33.3,33.2,29.4,22.7,14.8
103021065,Forbes,5160,46,258176000,41692,50034,4.78,1.8,0.38,0.14,0.478,7.6,20.6,31.8,27.4,29.1,25.4,18.1
103021066,Grenfell,1888,50,88487366,37639,46868,5.82,1.95,0.33,0.09,0.487,6,19.5,31.9,31.3,30.6,19.9,18.2
103021067,Parkes (NSW),5688,43,296387210,43510,52107,4.88,1.87,0.38,0.16,0.438,5.6,17.1,28.2,26.2,27.7,24.4,21.7
103021068,Parkes Region,1703,50,81553325,37201,47888,6.92,2.13,0.31,0.1,0.511,5.6,19.7,31.8,32.9,26.8,19.9,20.4
103021069,West Wyalong,3126,48,161535435,39539,51675,5.4,2.01,0.37,0.13,0.503,7.9,21.7,33.4,28.7,28.9,22.4,20.1
103031070,Lithgow,5531,45,311223562,43716,56269,5.47,2.02,0.37,0.14,0.468,5.8,18.4,30.8,26.6,27.2,22.3,23.9
103031071,Lithgow Region,4132,48,225802600,43018,54647,5.98,2.09,0.35,0.12,0.479,5.2,17.9,30.3,28.3,25.5,21,25.1
103031072,Mudgee,6230,43,369363112,44318,59288,5.46,2.11,0.39,0.15,0.484,6.6,19.3,31.6,25.7,26.9,21.7,25.7
103031073,Mudgee Region - East,1439,50,62751869,35000,43608,8.5,2.21,0.26,0.07,0.627,5.4,20.4,34.8,36.7,24.6,19.2,19.4
103031074,Mudgee Region - West,4968,47,248449570,37213,50010,7.17,2.17,0.3,0.08,0.524,6.5,19.7,33.1,32.6,27.3,19.2,20.8
103031075,Wollangambe - Wollemi,,,,,,,,,,,,,,,,,
103041076,Blayney,3803,46,207381791,44079,54531,4.98,1.91,0.38,0.16,0.469,7.6,19.6,30.6,25.8,27.4,23.4,23.3
103041077,Orange,9440,44,513936438,44963,54442,4.55,1.81,0.4,0.17,0.447,7.3,19.5,30.1,25,27.2,26.2,21.5
103041078,Orange - North,11097,41,675509600,50844,60873,4.37,1.83,0.42,0.2,0.428,5.6,17.4,28,21.2,24.6,25.4,28.9
103041079,Orange Region,6317,46,368521116,45917,58338,5.39,1.92,0.36,0.13,0.492,9,21.9,33.1,26.9,24.1,24.4,24.6
104011080,Grafton,8387,46,370582688,38778,44185,5.1,1.75,0.34,0.12,0.448,5.9,17.6,28.7,30.4,31.1,23.9,14.5
104011081,Grafton Region,7128,50,284854879,33833,39963,6.15,1.92,0.31,0.08,0.486,5.3,17.7,29.6,34.8,31.3,20.7,13.2
104011082,Maclean - Yamba - Iluka,7647,51,310067446,31689,40548,6.55,1.98,0.3,0.1,0.499,7,20.6,32.6,37.5,30.4,19.1,13
104021083,Bellingen,3064,49,131764736,33808,43004,6.3,2.02,0.32,0.1,0.516,7.9,21.1,33,36.7,27.8,20.1,15.4
104021084,Coffs Harbour - North,9081,45,428346167,38548,47169,5.18,1.78,0.34,0.14,0.471,8.6,21.3,32.1,31.2,29.2,24.4,15.1
104021085,Coffs Harbour - South,5158,45,255218084,39287,49480,4.99,1.84,0.37,0.15,0.473,8.8,22,32.7,29.1,30.5,23.6,16.8
104021086,Coramba - Nana Glen - Bucca,2147,47,106872362,38055,49778,4.99,1.86,0.37,0.12,0.516,13.7,26.1,36.5,30.3,30.7,22.8,16.2
104021087,Dorrigo,1632,53,59351574,28889,36367,7.16,2.04,0.29,0.07,0.535,6.9,21,33.6,40.9,30.5,17.9,10.7
104021088,Korora - Emerald Beach,5208,47,286015644,40847,54919,5.43,2.02,0.37,0.14,0.496,8.6,22.5,34,29.2,26.8,21.8,22.2
104021089,Sawtell - Boambee,10387,46,493638397,40399,47525,4.95,1.77,0.36,0.13,0.45,6.7,18.9,29.8,29.2,29.1,25.2,16.5
104021090,Urunga,2365,51,107045040,38455,45262,5.7,1.84,0.32,0.11,0.459,5.3,17.9,29.3,32,27.6,24.5,15.9
104021091,Woolgoolga - Arrawarra,6747,44,287271724,34008,42578,5.35,1.9,0.36,0.14,0.473,6.5,19.4,31.1,34.8,30.5,21.1,13.6
105011092,Bourke - Brewarrina,1800,44,90101915,44812,50057,4.29,1.74,0.4,0.14,0.455,5.7,16.8,27.8,24.6,27.4,28.6,19.4
105011093,Cobar,2420,41,170157974,57202,70313,5.24,1.92,0.37,0.17,0.451,6.6,18,28.5,21.3,21.8,19.9,37.1
105011094,Coonamble,1875,46,88240875,41197,47062,6.2,1.86,0.3,0.07,0.604,10.5,24.3,35.9,29.8,27.8,23.3,19
105011095,Nyngan - Warren,2910,46,174991609,47832,60135,4.7,1.8,0.38,0.18,0.464,7.7,21,32.1,24.2,24.5,26,25.3
105011096,Walgett - Lightning Ridge,2716,45,79109546,32548,29127,8.74,1.96,0.22,0,,7.2,24,40.1,38.7,27.4,21.3,12.6
105021097,Broken Hill,8548,45,473775080,46595,55425,4.69,1.88,0.4,0.18,0.426,5.1,16.2,27.1,24.2,26.1,24.6,25.1
105021098,Far West,918,47,54729173,45751,59618,4.83,1.96,0.41,0.18,0.49,6.4,21.4,33.1,25.1,26.1,22.7,26.1
105031099,Coonabarabran,3751,49,164468043,36679,43846,6.37,1.87,0.29,0.09,0.495,6.3,19.1,31.1,33.4,28.7,21.9,16.1
105031100,Dubbo - East,5877,41,320596983,45636,54551,4.05,1.75,0.43,0.21,0.422,7.1,18.5,28.9,23.1,28.4,27.4,21.1
105031101,Dubbo - South,9152,41,492368742,46632,53799,4.02,1.72,0.43,0.2,0.408,5.6,16.7,27,22.8,27.5,28.4,21.3
105031102,Dubbo - West,4344,40,234181837,45545,53909,4.08,1.77,0.43,0.2,0.422,5.8,17.7,28.3,22.7,29.2,26.8,21.3
105031103,Dubbo Region,3247,46,165377358,43234,50932,4.98,1.83,0.37,0.13,0.465,7.3,19,29.8,27.1,26.8,25.3,20.8
105031104,Gilgandra,2187,47,98777822,36790,45166,5.4,1.89,0.35,0.11,0.507,7.7,20.8,32.2,31.8,30.5,22.1,15.6
105031105,Narromine,3457,46,166259976,40209,48094,5.29,1.9,0.36,0.12,0.491,6.6,19.5,30.9,28.3,29,24,18.6
105031106,Wellington,3822,47,178031409,39393,46581,5.27,1.9,0.36,0.12,0.467,5.9,17.9,29.1,30.4,28.1,23.2,18.3
106011107,Branxton - Greta - Pokolbin,5516,43,370198443,50743,67114,5.43,2.12,0.39,0.17,0.474,7.4,19.4,30.6,22.9,24,20.6,32.4
106011108,Cessnock,9083,41,495933928,43193,54600,4.98,1.96,0.39,0.17,0.456,6,18.1,30.1,26.2,28.1,22.9,22.9
106011109,Cessnock Region,4072,46,229083644,43790,56258,5.64,1.98,0.35,0.14,0.479,7.1,19.7,31.5,26.9,26,23.2,24
106011110,Dungog,4723,48,240137642,39901,50844,6.37,2.07,0.32,0.1,0.501,7.1,20.1,32.1,31.3,26.5,20.7,21.5
106011111,Kurri Kurri - Abermain,7932,41,409057462,44246,51571,4.3,1.77,0.41,0.18,0.42,4.5,16.1,27.6,24.8,28.6,26.5,20.1
106011112,Singleton,8644,41,636710105,54563,73659,6.35,2.28,0.36,0.16,0.47,6,18.2,29.4,22.6,21.3,18.9,37.1
106011113,Singleton Region,2821,46,184657087,46197,65458,7.18,2.35,0.33,0.12,0.524,8.3,21.6,33.2,27.8,22.9,17.8,31.5
106021114,Maitland,3137,39,184947530,47404,58957,4.45,1.85,0.42,0.21,0.44,6.6,18.5,29.8,22.8,26.7,25.9,24.6
106021115,Maitland - East,14264,42,827608779,48653,58021,4.8,1.83,0.38,0.15,0.439,5.8,17.7,28.8,24,24.2,25.8,25.9
106021116,Maitland - North,4300,44,300495815,53751,69883,5.99,2,0.33,0.13,0.482,8,20.6,31.9,24.3,20.4,20.2,35
106021117,Maitland - West,10850,39,659529568,48838,60786,4.76,1.93,0.41,0.19,0.444,5.9,17.7,29.2,22.8,25.2,25,27.1
106021118,Thornton - Millers Forest,5601,42,334269971,50942,59680,4.25,1.76,0.41,0.2,0.416,5.3,16.7,27.5,21.5,24.2,27.4,26.9
106031119,Anna Bay,3018,46,158299475,39921,52452,5.46,1.99,0.37,0.13,0.485,8.2,21.5,33.1,30,28.1,21.3,20.6
106031120,Lemon Tree Passage - Tanilba Bay,2957,48,141939266,40701,48001,5.63,1.85,0.33,0.1,0.454,5.8,17.8,29,29.2,27.2,25.1,18.4
106031121,Nelson Bay Peninsula,11235,51,571953220,37299,50908,6.43,2.06,0.32,0.12,0.508,8.9,23,34.8,32.8,27.3,20.7,19.2
106031122,Raymond Terrace,6544,42,324418288,43981,49575,4.22,1.69,0.4,0.18,0.409,5.1,16.2,26.6,25.2,28.2,28.9,17.7
106031123,Seaham - Woodville,3297,46,197386501,46034,59869,5.38,2.02,0.38,0.14,0.478,7.5,20,31.5,26.6,24,21.7,27.7
106031124,Tea Gardens - Hawks Nest,2337,58,100023572,29032,42800,8.42,2.29,0.27,0.07,0.546,9.5,24.5,36.9,40.7,26.7,17.4,15.3
106031125,Williamtown - Medowie - Karuah,7076,43,392987684,47207,55538,4.66,1.78,0.38,0.15,0.434,6.2,17.8,28.5,24.9,24.9,26.4,23.7
106041126,Muswellbrook,6113,41,425822264,53011,69658,5.93,2.33,0.39,0.17,0.455,5.1,16.4,27.5,21.5,23.5,20.1,34.8
106041127,Muswellbrook Region,2124,44,130868986,46699,61614,6.2,2.24,0.36,0.15,0.489,6.7,18.9,30.7,26,24.1,21.3,28.6
106041128,Scone,3765,41,289652473,43338,76933,5.41,2.15,0.4,0.17,0.606,27.6,37.9,47.4,26.2,26.8,21,25.9
106041129,Scone Region,4075,45,236870685,42914,58128,5.75,2.08,0.36,0.12,0.517,12.3,23.6,35.3,27.3,27.4,21.7,23.6
107011131,Dapto - Avondale,11696,43,609683802,44104,52128,4.8,1.86,0.39,0.15,0.43,5,16.4,27.5,26,27,25.3,21.7
107011132,Horsley - Kembla Grange,4599,41,276381153,51418,60096,4.35,1.81,0.42,0.2,0.411,4.5,15.5,26.3,21.2,24.1,26,28.8
107011133,Port Kembla Industrial,,,,,,,,,,,,,,,,,
107011134,Unanderra - Mount Kembla,8559,44,521380014,48479,60916,4.96,1.93,0.39,0.16,0.454,6.5,19,30.2,24,24.5,23.5,28
107011545,Berkeley - Lake Heights - Cringila,5943,41,291457226,42373,49042,4.37,1.76,0.4,0.18,0.419,5.1,16.4,27.3,26.3,29.2,26.6,18
107011546,Port Kembla - Warrawong,3883,42,192854289,41155,49666,5.03,1.89,0.38,0.16,0.444,5.8,17.6,28.9,28.6,28.1,23.9,19.3
107011547,Windang - Primbee,1954,46,102193175,42913,52299,5.94,1.9,0.32,0.13,0.46,5.7,18.2,29.8,29.3,25.1,23.8,21.8
107021135,Illawarra Catchment Reserve,,,,,,,,,,,,,,,,,
107031136,Albion Park - Macquarie Pass,7874,41,451666148,49099,57362,4.31,1.82,0.42,0.21,0.409,4.6,15.6,26.2,21.8,25.9,26,26.3
107031137,Albion Park Rail,3486,42,173365945,43486,49732,4.21,1.75,0.41,0.16,0.408,4.6,15.5,26.2,24.5,29.8,27,18.7
107031138,Kiama,4483,50,262696096,43091,58598,6.58,2.08,0.32,0.12,0.506,8.7,22.7,34.4,30.2,23.5,20.7,25.6
107031139,Kiama Downs - Minnamurra,3622,47,216370859,46017,59738,5.64,2.05,0.36,0.14,0.466,6.2,18.8,30.3,25.9,24.8,20.4,28.9
107031140,Kiama Hinterland - Gerringong,4542,49,265738260,42969,58507,6.1,2.12,0.35,0.13,0.5,8.3,21.8,33.5,29.3,24.2,20.5,26.1
107031141,Shellharbour - Flinders,8972,42,557861499,49845,62178,4.83,1.94,0.4,0.19,0.442,5.9,17.7,28.9,22.5,24.7,23.1,29.8
107031142,Shellharbour - Oak Flats,5291,44,285825499,45232,54021,4.93,1.87,0.38,0.15,0.435,5.2,16.9,28,25.4,26.1,25.6,22.9
107031143,Warilla,9168,43,451275698,42072,49223,4.73,1.82,0.39,0.15,0.431,5.1,16.7,27.8,27.1,29,25,18.9
107041144,Balgownie - Fairy Meadow,11008,44,654084342,45891,59419,5.91,1.99,0.34,0.13,0.478,7.1,20.3,31.8,27.6,23.3,22,27.1
107041145,Corrimal - Tarrawanna - Bellambi,7919,43,440091786,46022,55574,4.9,1.88,0.38,0.16,0.438,5.2,17.2,28.4,25.3,25.5,24.6,24.6
107041146,Figtree - Keiraville,11375,44,676377155,47010,59462,5.88,1.98,0.34,0.13,0.469,6.1,19,30.6,27,22.8,22.4,27.7
107041147,Helensburgh,5237,43,344353759,53652,65754,4.4,1.82,0.41,0.21,0.436,6.1,18.4,29.4,20,23.9,24.6,31.5
107041148,Thirroul - Austinmer - Coalcliff,6976,46,514734678,54993,73787,5.81,1.96,0.34,0.14,0.498,8.8,22.7,34.4,23.7,20.6,20.5,35.3
107041150,Woonona - Bulli - Russell Vale,10708,44,697037313,52197,65095,5.27,1.9,0.36,0.14,0.459,6.5,19,30.3,23.4,22.1,23.1,31.4
107041548,Wollongong - East,7529,39,444282248,45740,59009,5.63,1.96,0.35,0.15,0.478,7.6,20.8,32.2,27.6,23.3,23.3,25.8
107041549,Wollongong - West,7973,39,458743826,45706,57537,5.28,1.93,0.36,0.16,0.463,7,19.7,30.8,26.6,24.6,23.9,24.9
108011151,Bulahdelah - Stroud,2390,49,108481459,36166,45390,5.74,1.96,0.34,0.11,0.504,6.9,20.6,32.6,32.7,30.3,20.6,16.3
108011152,Forster,6658,52,290299380,33828,43602,6.88,1.99,0.29,0.09,0.503,7.6,21.5,33.6,36.5,29.5,19,15
108011153,Forster-Tuncurry Region,2961,51,116960039,31340,39500,6.69,1.92,0.29,0.1,0.51,8.1,21.5,33.4,38,32.2,17.7,12
108011154,Tuncurry,2578,54,102115451,31121,39610,7.78,1.91,0.25,0.06,0.524,10,23.5,35.3,39.7,30.3,18.7,11.3
108021155,Kempsey,5874,46,246242810,36962,41921,4.9,1.76,0.36,0.13,0.443,5.5,17,28.2,31,33,23.4,12.6
108021156,Kempsey Region,4523,51,178566713,32554,39480,6.5,1.95,0.3,0.08,0.502,5.9,18.5,30.6,36.1,30.6,20.2,13.1
108021157,Macksville - Scotts Head,2293,49,93448961,34367,40754,6.5,1.87,0.29,0.08,0.477,5.6,18.5,30.1,35,29.6,23.2,12.2
108021158,Nambucca Heads,2665,52,112514437,33699,42219,5.85,1.84,0.31,0.11,0.488,8.4,22,33.3,35.7,31.3,21.1,11.9
108021159,Nambucca Heads Region,3702,50,147586383,32540,39867,7.09,1.97,0.28,0.06,0.504,6.3,19.3,31.4,36.9,29.9,20.2,13.1
108021160,South West Rocks,2330,52,97429133,31495,41815,7.68,2.07,0.27,0.08,0.505,6.8,20.4,32.7,38.8,26.1,20.5,14.6
108031161,Lord Howe Island,295,49,14210756,36700,48172,4.55,1.89,0.42,0.22,0.453,,19.3,31.4,27.6,33.1,23.2,16
108041162,Laurieton - Bonny Hills,7955,51,338301770,35057,42527,6.91,1.93,0.28,0.08,0.478,5.9,18.8,30.5,34.8,29.8,20.5,14.9
108041163,Port Macquarie - East,15719,48,805470741,40220,51242,5.83,1.96,0.34,0.12,0.482,7.6,20.7,32.2,30.1,27.4,22.2,20.3
108041164,Port Macquarie - West,7907,47,375308801,38682,47465,5.44,1.82,0.34,0.12,0.474,7.6,20.7,32,30.9,29.7,23,16.4
108041165,Port Macquarie Region,2942,50,124277660,33543,42243,7.26,1.99,0.27,0.05,0.537,7.9,22.3,34.3,35.9,29.7,19.8,14.7
108041166,Wauchope,5445,47,255420209,38477,46909,5.28,1.78,0.34,0.11,0.478,9.3,21.7,32.3,30.5,30.5,24.3,14.8
108051167,Gloucester,2508,51,102749098,32227,40969,7.98,2.03,0.25,0.05,0.545,6.3,21,34.3,38.2,28.3,19.1,14.4
108051168,Old Bar - Manning Point - Red Head,5283,51,248852285,37343,47104,6.52,2.01,0.31,0.09,0.491,7.3,20.4,31.7,32.8,28.1,20.7,18.4
108051169,Taree,8614,47,376258691,37180,43680,5.06,1.76,0.35,0.11,0.464,7.7,19.8,30.8,31.6,32.4,23.1,12.9
108051170,Taree Region,5790,52,231105138,31509,39915,8.2,2.05,0.25,0.05,0.518,6.9,20.3,32.6,38.6,28.5,19.2,13.7
108051171,Wingham,2525,47,105468079,37950,41770,4.49,1.68,0.37,0.14,0.42,4.9,16.4,27.2,29.6,34.3,25,11
109011172,Albury - East,8302,42,481098485,48668,57950,4.23,1.73,0.41,0.18,0.439,8.6,20.2,30.3,22.8,25.4,28.3,23.5
109011173,Albury - North,5116,42,244214579,42191,47735,4.46,1.71,0.38,0.15,0.423,6.4,17.4,27.7,27,29.4,27.8,15.8
109011174,Albury - South,6505,47,396275503,46296,60919,5.03,1.88,0.37,0.16,0.49,10,23.7,34.7,25.3,25.2,24.8,24.8
109011175,Albury Region,6639,48,351820325,42621,52993,5.17,1.86,0.36,0.13,0.481,8,21.5,32.4,27.6,27.1,24.8,20.6
109011176,Lavington,7306,43,329065519,41084,45040,4.06,1.65,0.41,0.17,0.402,5.1,15.6,26,27,31.2,28.7,13.1
109021177,Hay,1777,47,85573634,39424,48156,4.84,1.86,0.38,0.18,0.458,5.5,18,29.4,28.9,29.6,23.3,18.2
109021178,Wentworth - Buronga,2943,48,138737375,38742,47141,5.56,1.9,0.34,0.1,0.481,7,20.4,31.5,31.5,28.5,22.8,17.2
109021179,Wentworth-Balranald Region,1705,46,82622768,40284,48459,4.87,1.79,0.37,0.12,0.488,6.9,20.7,32,29.9,28.1,25,17
109031180,Corowa,3287,48,157327178,40459,47863,5.52,1.87,0.34,0.13,0.45,5.7,17.8,28.5,30,26.5,25.6,17.9
109031181,Corowa Region,3635,49,181246137,41046,49861,5.35,1.8,0.34,0.13,0.475,7.4,20.6,31.7,30.2,25.8,26.5,17.5
