Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"DZN to State/Territory (POW) and Main Statistical Area Structure (Main ASGS) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"DZN to State/Territory (POW)","Main Statistical Area Structure (Main ASGS) (POW)",
"110286283","Avoca Beach - Copacabana",254,
"110286284","Avoca Beach - Copacabana",613,
"110296249","Box Head - MacMasters Beach",324,
"110296250","Box Head - MacMasters Beach",160,
"110296251","Box Head - MacMasters Beach",395,
"110296252","Box Head - MacMasters Beach",90,
"110296253","Box Head - MacMasters Beach",57,
"110299999","Box Head - MacMasters Beach",16,
"110306039","Calga - Kulnura",364,
"110306040","Calga - Kulnura",176,
"110306041","Calga - Kulnura",180,
"110306042","Calga - Kulnura",1883,
"110306043","Calga - Kulnura",37,
"110306044","Calga - Kulnura",654,
"110306045","Calga - Kulnura",463,
"110309999","Calga - Kulnura",328,
"110316200","Erina - Green Point",271,
"110316201","Erina - Green Point",652,
"110316202","Erina - Green Point",953,
"110316203","Erina - Green Point",969,
"110316204","Erina - Green Point",4236,
"110316205","Erina - Green Point",146,
"110316206","Erina - Green Point",113,
"110319999","Erina - Green Point",1070,
"110326131","Gosford - Springfield",1342,
"110326132","Gosford - Springfield",238,
"110326133","Gosford - Springfield",880,
"110326134","Gosford - Springfield",579,
"110326135","Gosford - Springfield",5544,
"110326136","Gosford - Springfield",2686,
"110326137","Gosford - Springfield",3085,
"110326138","Gosford - Springfield",1465,
"110329999","Gosford - Springfield",1257,
"110336058","Kariong",711,
"110336059","Kariong",341,
"110339999","Kariong",27,
"110346234","Kincumber - Picketts Valley",688,
"110346235","Kincumber - Picketts Valley",851,
"110346236","Kincumber - Picketts Valley",145,
"110349999","Kincumber - Picketts Valley",259,
"110356072","Narara",559,
"110366085","Niagara Park - Lisarow",318,
"110366086","Niagara Park - Lisarow",749,
"110366087","Niagara Park - Lisarow",184,
"110366088","Niagara Park - Lisarow",1121,
"110369999","Niagara Park - Lisarow",214,
"110376116","Point Clare - Koolewong",105,
"110376117","Point Clare - Koolewong",247,
"110376118","Point Clare - Koolewong",275,
"110379999","Point Clare - Koolewong",65,
"110386186","Saratoga - Davistown",212,
"110386187","Saratoga - Davistown",335,
"110389999","Saratoga - Davistown",7,
"110396266","Terrigal - North Avoca",164,
"110396267","Terrigal - North Avoca",1223,
"110396268","Terrigal - North Avoca",196,
"110396269","Terrigal - North Avoca",149,
"110396270","Terrigal - North Avoca",227,
"110399999","Terrigal - North Avoca",361,
"110406167","Umina - Booker Bay - Patonga",235,
"110406168","Umina - Booker Bay - Patonga",832,
"110406169","Umina - Booker Bay - Patonga",194,
"110406170","Umina - Booker Bay - Patonga",307,
"110406171","Umina - Booker Bay - Patonga",173,
"110406172","Umina - Booker Bay - Patonga",651,
"110406173","Umina - Booker Bay - Patonga",151,
"110409999","Umina - Booker Bay - Patonga",495,
"110416219","Wamberal - Forresters Beach",445,
"110416220","Wamberal - Forresters Beach",228,
"110416221","Wamberal - Forresters Beach",517,
"110419999","Wamberal - Forresters Beach",92,
"110426151","Woy Woy - Blackwall",316,
"110426152","Woy Woy - Blackwall",298,
"110426153","Woy Woy - Blackwall",877,
"110426154","Woy Woy - Blackwall",1652,
"110429999","Woy Woy - Blackwall",472,
"110436101","Wyoming",779,
"110436102","Wyoming",596,
"110436103","Wyoming",461,
"110439999","Wyoming",248,
"110446472","Bateau Bay - Killarney Vale",185,
"110446473","Bateau Bay - Killarney Vale",326,
"110446474","Bateau Bay - Killarney Vale",88,
"110446475","Bateau Bay - Killarney Vale",504,
"110446476","Bateau Bay - Killarney Vale",227,
"110446477","Bateau Bay - Killarney Vale",1101,
"110446478","Bateau Bay - Killarney Vale",365,
"110446479","Bateau Bay - Killarney Vale",142,
"110449999","Bateau Bay - Killarney Vale",472,
"110456411","Blue Haven - San Remo",817,
"110456412","Blue Haven - San Remo",239,
"110466457","Budgewoi - Buff Point - Halekulani",585,
"110466458","Budgewoi - Buff Point - Halekulani",130,
"110466459","Budgewoi - Buff Point - Halekulani",52,
"110469999","Budgewoi - Buff Point - Halekulani",45,
"110476425","Chittaway Bay - Tumbi Umbi",653,
"110476426","Chittaway Bay - Tumbi Umbi",539,
"110476427","Chittaway Bay - Tumbi Umbi",2009,
"110476428","Chittaway Bay - Tumbi Umbi",67,
"110476429","Chittaway Bay - Tumbi Umbi",731,
"110479999","Chittaway Bay - Tumbi Umbi",164,
"110486393","Gorokan - Kanwal - Charmhaven",432,
"110486394","Gorokan - Kanwal - Charmhaven",249,
"110486395","Gorokan - Kanwal - Charmhaven",217,
"110486396","Gorokan - Kanwal - Charmhaven",222,
"110486397","Gorokan - Kanwal - Charmhaven",366,
"110486398","Gorokan - Kanwal - Charmhaven",1533,
"110489999","Gorokan - Kanwal - Charmhaven",757,
"110496297","Jilliby - Yarramalong",478,
"110496298","Jilliby - Yarramalong",71,
"110499999","Jilliby - Yarramalong",13,
"110506442","Lake Munmorah - Mannering Park",307,
"110506443","Lake Munmorah - Mannering Park",57,
"110506444","Lake Munmorah - Mannering Park",962,
"110509999","Lake Munmorah - Mannering Park",90,
"110516311","Ourimbah - Fountaindale",571,
"110516312","Ourimbah - Fountaindale",378,
"110516313","Ourimbah - Fountaindale",93,
"110516314","Ourimbah - Fountaindale",501,
"110519999","Ourimbah - Fountaindale",143,
"110526380","Summerland Point - Gwandalan",375,
"110536492","The Entrance",419,
"110536493","The Entrance",458,
"110536494","The Entrance",258,
"110536495","The Entrance",1104,
"110536496","The Entrance",202,
"110539999","The Entrance",365,
"110546509","Toukley - Norah Head",145,
"110546510","Toukley - Norah Head",318,
"110546511","Toukley - Norah Head",1306,
"110549999","Toukley - Norah Head",198,
"110556343","Tuggerah - Kangy Angy",2219,
"110556344","Tuggerah - Kangy Angy",146,
"110556345","Tuggerah - Kangy Angy",2647,
"110556346","Tuggerah - Kangy Angy",264,
"110556347","Tuggerah - Kangy Angy",26,
"110556348","Tuggerah - Kangy Angy",1656,
"110559999","Tuggerah - Kangy Angy",743,
"110566361","Warnervale - Wadalba",323,
"110566362","Warnervale - Wadalba",914,
"110566363","Warnervale - Wadalba",177,
"110566364","Warnervale - Wadalba",1320,
"110566365","Warnervale - Wadalba",323,
"110566366","Warnervale - Wadalba",78,
"110566367","Warnervale - Wadalba",1051,
"110569999","Warnervale - Wadalba",289,
"110576327","Wyong",324,
"110576328","Wyong",2416,
"110576329","Wyong",1244,
"110576330","Wyong",196,
"110579999","Wyong",701,
"110588281","Bathurst",562,
"110588282","Bathurst",1124,
"110588283","Bathurst",8995,
"110589999","Bathurst",179,
"110598286","Bathurst - East",3141,
"110608289","Bathurst Region",326,
"110608290","Bathurst Region",372,
"110608291","Bathurst Region",332,
"110608292","Bathurst Region",275,
"110609999","Bathurst Region",9,
"110618295","Oberon",371,
"110618296","Oberon",1115,
"110618297","Oberon",188,
"110619999","Oberon",269,
"110628178","Condobolin",393,
"110628179","Condobolin",496,
"110628180","Condobolin",409,
"110628181","Condobolin",1194,
"110628182","Condobolin",137,
"110629999","Condobolin",95,
"110638211","Cowra",3326,
"110648214","Cowra Region",218,
"110648215","Cowra Region",121,
"110648216","Cowra Region",470,
"110648217","Cowra Region",218,
"110648218","Cowra Region",235,
"110648219","Cowra Region",164,
"110649999","Cowra Region",70,
"110658201","Forbes",392,
"110658202","Forbes",2521,
"110658203","Forbes",472,
"110659999","Forbes",244,
"110668206","Grenfell",299,
"110668207","Grenfell",558,
"110668208","Grenfell",205,
"110669999","Grenfell",78,
"110678197","Parkes (NSW)",3633,
"110678198","Parkes (NSW)",203,
"110679999","Parkes (NSW)",126,
"110688185","Parkes Region",248,
"110688186","Parkes Region",222,
"110688187","Parkes Region",739,
"110688188","Parkes Region",115,
"110689999","Parkes Region",10,
"110698191","West Wyalong",724,
"110698192","West Wyalong",1145,
"110698193","West Wyalong",320,
"110698194","West Wyalong",116,
"110699999","West Wyalong",232,
"110708276","Lithgow",229,
"110708277","Lithgow",467,
"110708278","Lithgow",3785,
"110709999","Lithgow",211,
"110718265","Lithgow Region",410,
"110718266","Lithgow Region",1091,
"110718267","Lithgow Region",516,
"110718268","Lithgow Region",119,
"110718269","Lithgow Region",200,
"110718270","Lithgow Region",268,
"110719999","Lithgow Region",118,
"110728251","Mudgee",4631,
"110738261","Mudgee Region - East",704,
"110738262","Mudgee Region - East",301,
"110739999","Mudgee Region - East",35,
"110748254","Mudgee Region - West",381,
"110748255","Mudgee Region - West",457,
"110748256","Mudgee Region - West",1392,
"110748257","Mudgee Region - West",421,
"110748258","Mudgee Region - West",360,
"110749999","Mudgee Region - West",57,
"110758273","Wollangambe - Wollemi",10,
"110768245","Blayney",903,
"110768246","Blayney",978,
"110768247","Blayney",321,
"110768248","Blayney",124,
"110769999","Blayney",117,
"110778239","Orange",6134,
"110778240","Orange",1897,
"110778241","Orange",3381,
"110778242","Orange",2083,
"110779999","Orange",782,
"110788233","Orange - North",182,
"110788234","Orange - North",854,
"110788235","Orange - North",562,
"110788236","Orange - North",523,
"110789999","Orange - North",77,
"110798222","Orange Region",114,
"110798223","Orange Region",37,
"110798224","Orange Region",405,
"110798225","Orange Region",743,
"110798226","Orange Region",374,
"110798227","Orange Region",1468,
"110798228","Orange Region",304,
"110798229","Orange Region",251,
"110798230","Orange Region",175,
"110799999","Orange Region",74,
"110808417","Grafton",131,
"110808418","Grafton",716,
"110808419","Grafton",5743,
"110808420","Grafton",2259,
"110809999","Grafton",385,
"110818404","Grafton Region",69,
"110818405","Grafton Region",134,
"110818406","Grafton Region",229,
"110818407","Grafton Region",105,
"110818408","Grafton Region",61,
"110818409","Grafton Region",215,
"110818410","Grafton Region",330,
"110818411","Grafton Region",227,
"110818412","Grafton Region",146,
"110818413","Grafton Region",147,
"110818414","Grafton Region",85,
"110819999","Grafton Region",41,
"110828423","Maclean - Yamba - Iluka",1786,
"110828424","Maclean - Yamba - Iluka",420,
"110828425","Maclean - Yamba - Iluka",136,
"110828426","Maclean - Yamba - Iluka",286,
"110828427","Maclean - Yamba - Iluka",1839,
"110829999","Maclean - Yamba - Iluka",156,
"110838435","Bellingen",174,
"110838436","Bellingen",1104,
"110838437","Bellingen",233,
"110839999","Bellingen",125,
"110848459","Coffs Harbour - North",1942,
"110848460","Coffs Harbour - North",700,
"110848461","Coffs Harbour - North",2976,
"110849999","Coffs Harbour - North",80,
"110858473","Coffs Harbour - South",1369,
"110858474","Coffs Harbour - South",5264,
"110858475","Coffs Harbour - South",2898,
"110858476","Coffs Harbour - South",1886,
"110859999","Coffs Harbour - South",316,
"110868440","Coramba - Nana Glen - Bucca",332,
"110868441","Coramba - Nana Glen - Bucca",133,
"110869999","Coramba - Nana Glen - Bucca",11,
"110878430","Dorrigo",112,
"110878431","Dorrigo",287,
"110878432","Dorrigo",462,
"110879999","Dorrigo",77,
"110888464","Korora - Emerald Beach",311,
"110888465","Korora - Emerald Beach",300,
"110888466","Korora - Emerald Beach",453,
"110889999","Korora - Emerald Beach",44,
"110898451","Sawtell - Boambee",275,
"110898452","Sawtell - Boambee",304,
"110898453","Sawtell - Boambee",402,
"110898454","Sawtell - Boambee",750,
"110898455","Sawtell - Boambee",1428,
"110898456","Sawtell - Boambee",466,
"110899999","Sawtell - Boambee",234,
"110908469","Urunga",397,
"110908470","Urunga",462,
"110909999","Urunga",45,
"110918444","Woolgoolga - Arrawarra",240,
"110918445","Woolgoolga - Arrawarra",84,
"110918446","Woolgoolga - Arrawarra",406,
"110918447","Woolgoolga - Arrawarra",1151,
"110918448","Woolgoolga - Arrawarra",200,
"110919999","Woolgoolga - Arrawarra",251,
"110928694","Bourke - Brewarrina",279,
"110928695","Bourke - Brewarrina",854,
"110928696","Bourke - Brewarrina",159,
"110928697","Bourke - Brewarrina",293,
"110929999","Bourke - Brewarrina",69,
"110938700","Cobar",998,
"110938701","Cobar",1080,
"110939999","Cobar",163,
"110948711","Coonamble",899,
"110948712","Coonamble",560,
"110949999","Coonamble",108,
"110958715","Nyngan - Warren",864,
"110958716","Nyngan - Warren",1239,
"110959999","Nyngan - Warren",3,
"110968704","Walgett - Lightning Ridge",363,
"110968705","Walgett - Lightning Ridge",491,
"110968706","Walgett - Lightning Ridge",499,
"110968707","Walgett - Lightning Ridge",649,
"110968708","Walgett - Lightning Ridge",100,
"110969999","Walgett - Lightning Ridge",138,
"110978691","Broken Hill",6309,
"110988688","Far West",1224,
"110998746","Coonabarabran",1255,
"110998747","Coonabarabran",433,
"110998748","Coonabarabran",125,
"110998749","Coonabarabran",160,
"110998750","Coonabarabran",338,
"110998751","Coonabarabran",184,
"110999999","Coonabarabran",152,
"111008742","Dubbo - East",2197,
"111008743","Dubbo - East",3295,
"111009999","Dubbo - East",280,
"111018733","Dubbo - South",8221,
"111018734","Dubbo - South",518,
"111019999","Dubbo - South",62,
"111028729","Dubbo - West",1474,
"111028730","Dubbo - West",218,
"111038737","Dubbo Region",339,
"111038738","Dubbo Region",259,
"111038739","Dubbo Region",305,
"111039999","Dubbo Region",37,
"111048724","Gilgandra",289,
"111048725","Gilgandra",1041,
"111048726","Gilgandra",126,
"111049999","Gilgandra",67,
"111058719","Narromine",715,
"111058720","Narromine",374,
"111058721","Narromine",919,
"111059999","Narromine",107,
"111068754","Wellington",144,
"111068755","Wellington",131,
"111068756","Wellington",1159,
"111068757","Wellington",178,
"111068758","Wellington",461,
"111069999","Wellington",239,
"111077020","Branxton - Greta - Pokolbin",1755,
"111077021","Branxton - Greta - Pokolbin",298,
"111077022","Branxton - Greta - Pokolbin",345,
"111077023","Branxton - Greta - Pokolbin",411,
"111077024","Branxton - Greta - Pokolbin",394,
"111079999","Branxton - Greta - Pokolbin",245,
"111087054","Cessnock",21,
"111087055","Cessnock",182,
"111087056","Cessnock",86,
"111087057","Cessnock",2603,
"111087058","Cessnock",576,
"111087060","Cessnock",726,
"111087061","Cessnock",447,
"111087062","Cessnock",284,
"111089999","Cessnock",728,
"111097037","Cessnock Region",201,
"111097038","Cessnock Region",719,
"111097039","Cessnock Region",188,
"111097040","Cessnock Region",77,
"111097041","Cessnock Region",688,
"111099999","Cessnock Region",6,
"111108028","Dungog",141,
"111108029","Dungog",216,
"111108030","Dungog",426,
"111108031","Dungog",856,
"111108032","Dungog",360,
"111109999","Dungog",70,
"111117075","Kurri Kurri - Abermain",64,
"111117076","Kurri Kurri - Abermain",109,
"111117077","Kurri Kurri - Abermain",159,
"111117078","Kurri Kurri - Abermain",967,
"111117079","Kurri Kurri - Abermain",81,
"111117080","Kurri Kurri - Abermain",1244,
"111117081","Kurri Kurri - Abermain",212,
"111117082","Kurri Kurri - Abermain",172,
"111119999","Kurri Kurri - Abermain",781,
"111128024","Singleton",1850,
"111128025","Singleton",5026,
"111129999","Singleton",16,
"111138020","Singleton Region",4168,
"111138021","Singleton Region",2838,
"111139999","Singleton Region",94,
"111147129","Maitland",162,
"111147130","Maitland",3822,
"111147131","Maitland",1180,
"111157144","Maitland - East",856,
"111157145","Maitland - East",226,
"111157146","Maitland - East",2056,
"111157147","Maitland - East",346,
"111157148","Maitland - East",345,
"111157149","Maitland - East",1123,
"111157150","Maitland - East",233,
"111157151","Maitland - East",209,
"111157152","Maitland - East",194,
"111157153","Maitland - East",155,
"111157154","Maitland - East",354,
"111159999","Maitland - East",536,
"111167115","Maitland - North",361,
"111167116","Maitland - North",362,
"111169999","Maitland - North",12,
"111177095","Maitland - West",248,
"111177096","Maitland - West",2809,
"111177097","Maitland - West",677,
"111177098","Maitland - West",143,
"111177099","Maitland - West",116,
"111177100","Maitland - West",821,
"111177101","Maitland - West",332,
"111177102","Maitland - West",144,
"111179999","Maitland - West",754,
"111187167","Thornton - Millers Forest",2708,
"111187168","Thornton - Millers Forest",576,
"111187169","Thornton - Millers Forest",141,
"111189999","Thornton - Millers Forest",370,
"111197246","Anna Bay",120,
"111197247","Anna Bay",530,
"111199999","Anna Bay",68,
"111207232","Lemon Tree Passage - Tanilba Bay",476,
"111207233","Lemon Tree Passage - Tanilba Bay",180,
"111209999","Lemon Tree Passage - Tanilba Bay",22,
"111217260","Nelson Bay Peninsula",186,
"111217261","Nelson Bay Peninsula",1002,
"111217262","Nelson Bay Peninsula",1089,
"111217263","Nelson Bay Peninsula",373,
"111217264","Nelson Bay Peninsula",477,
"111217265","Nelson Bay Peninsula",537,
"111217266","Nelson Bay Peninsula",1026,
"111217267","Nelson Bay Peninsula",304,
"111219999","Nelson Bay Peninsula",833,
"111227196","Raymond Terrace",5843,
"111227197","Raymond Terrace",2465,
"111227198","Raymond Terrace",113,
"111227199","Raymond Terrace",342,
"111227200","Raymond Terrace",128,
"111229999","Raymond Terrace",426,
"111237182","Seaham - Woodville",380,
"111237183","Seaham - Woodville",306,
"111248035","Tea Gardens - Hawks Nest",128,
"111248036","Tea Gardens - Hawks Nest",769,
"111249999","Tea Gardens - Hawks Nest",64,
"111257213","Williamtown - Medowie - Karuah",226,
"111257214","Williamtown - Medowie - Karuah",4066,
"111257215","Williamtown - Medowie - Karuah",206,
"111257216","Williamtown - Medowie - Karuah",451,
"111257217","Williamtown - Medowie - Karuah",135,
"111257218","Williamtown - Medowie - Karuah",40,
"111257219","Williamtown - Medowie - Karuah",227,
"111259999","Williamtown - Medowie - Karuah",268,
"111268016","Muswellbrook",3789,
"111268017","Muswellbrook",3372,
"111269999","Muswellbrook",348,
"111278011","Muswellbrook Region",767,
"111278012","Muswellbrook Region",383,
"111278013","Muswellbrook Region",556,
"111279999","Muswellbrook Region",65,
"111288008","Scone",2407,
"111298000","Scone Region",381,
"111298001","Scone Region",314,
"111298002","Scone Region",314,
"111298003","Scone Region",159,
"111298004","Scone Region",321,
"111298005","Scone Region",618,
"111299999","Scone Region",55,
"111307495","Berkeley - Warrawong - Windang",248,
"111307496","Berkeley - Warrawong - Windang",190,
"111307497","Berkeley - Warrawong - Windang",520,
"111307498","Berkeley - Warrawong - Windang",676,
"111307499","Berkeley - Warrawong - Windang",224,
"111307500","Berkeley - Warrawong - Windang",92,
"111307501","Berkeley - Warrawong - Windang",695,
"111307502","Berkeley - Warrawong - Windang",1333,
"111307503","Berkeley - Warrawong - Windang",1123,
"111307504","Berkeley - Warrawong - Windang",110,
"111307505","Berkeley - Warrawong - Windang",88,
"111307506","Berkeley - Warrawong - Windang",349,
"111309999","Berkeley - Warrawong - Windang",847,
"111317440","Dapto - Avondale",78,
"111317441","Dapto - Avondale",239,
"111317442","Dapto - Avondale",549,
"111317443","Dapto - Avondale",172,
"111317444","Dapto - Avondale",148,
"111317445","Dapto - Avondale",416,
"111317446","Dapto - Avondale",2014,
"111317447","Dapto - Avondale",230,
"111319999","Dapto - Avondale",412,
"111327425","Horsley - Kembla Grange",196,
"111327426","Horsley - Kembla Grange",452,
"111327427","Horsley - Kembla Grange",166,
"111337480","Port Kembla Industrial",3916,
"111337481","Port Kembla Industrial",2200,
"111337482","Port Kembla Industrial",468,
"111347460","Unanderra - Mount Kembla",4158,
"111347461","Unanderra - Mount Kembla",435,
"111347462","Unanderra - Mount Kembla",1040,
"111347463","Unanderra - Mount Kembla",65,
"111347464","Unanderra - Mount Kembla",58,
"111347465","Unanderra - Mount Kembla",1001,
"111347466","Unanderra - Mount Kembla",227,
"111347467","Unanderra - Mount Kembla",411,
"111349999","Unanderra - Mount Kembla",823,
"111357280","Illawarra Catchment Reserve",71,
"111367519","Albion Park - Macquarie Pass",224,
"111367520","Albion Park - Macquarie Pass",576,
"111367521","Albion Park - Macquarie Pass",983,
"111369999","Albion Park - Macquarie Pass",368,
"111377534","Albion Park Rail",463,
"111377535","Albion Park Rail",456,
"111377536","Albion Park Rail",138,
"111377537","Albion Park Rail",586,
"111379999","Albion Park Rail",163,
"111387632","Kiama",286,
"111387633","Kiama",367,
"111387634","Kiama",1652,
"111389999","Kiama",233,
"111397618","Kiama Downs - Minnamurra",208,
"111397619","Kiama Downs - Minnamurra",273,
"111399999","Kiama Downs - Minnamurra",10,
"111407550","Kiama Hinterland - Gerringong",252,
"111407551","Kiama Hinterland - Gerringong",866,
"111407552","Kiama Hinterland - Gerringong",348,
"111409999","Kiama Hinterland - Gerringong",177,
"111417600","Shellharbour - Flinders",107,
"111417601","Shellharbour - Flinders",473,
"111417602","Shellharbour - Flinders",588,
"111417603","Shellharbour - Flinders",339,
"111417604","Shellharbour - Flinders",161,
"111417605","Shellharbour - Flinders",27,
"111419999","Shellharbour - Flinders",125,
"111427565","Shellharbour - Oak Flats",289,
"111427566","Shellharbour - Oak Flats",1177,
"111427567","Shellharbour - Oak Flats",1523,
"111427568","Shellharbour - Oak Flats",410,
"111427569","Shellharbour - Oak Flats",339,
"111429999","Shellharbour - Oak Flats",899,
"111437582","Warilla",354,
"111437583","Warilla",655,
"111437584","Warilla",1210,
"111437585","Warilla",567,
"111437586","Warilla",184,
"111437587","Warilla",167,
"111439999","Warilla",402,
"111447383","Balgownie - Fairy Meadow",459,
"111447384","Balgownie - Fairy Meadow",1102,
"111447385","Balgownie - Fairy Meadow",1001,
"111447386","Balgownie - Fairy Meadow",154,
"111447387","Balgownie - Fairy Meadow",333,
"111447388","Balgownie - Fairy Meadow",1017,
"111447389","Balgownie - Fairy Meadow",434,
"111449999","Balgownie - Fairy Meadow",604,
"111457365","Corrimal - Tarrawanna - Bellambi",143,
"111457366","Corrimal - Tarrawanna - Bellambi",251,
"111457367","Corrimal - Tarrawanna - Bellambi",912,
"111457368","Corrimal - Tarrawanna - Bellambi",539,
"111457369","Corrimal - Tarrawanna - Bellambi",567,
"111457370","Corrimal - Tarrawanna - Bellambi",191,
"111459999","Corrimal - Tarrawanna - Bellambi",380,
"111467345","Figtree - Keiraville",913,
"111467346","Figtree - Keiraville",732,
"111467347","Figtree - Keiraville",132,
"111467348","Figtree - Keiraville",374,
"111467349","Figtree - Keiraville",182,
"111467350","Figtree - Keiraville",169,
"111467351","Figtree - Keiraville",261,
"111467352","Figtree - Keiraville",3098,
"111469999","Figtree - Keiraville",352,
"111477293","Helensburgh",56,
"111477294","Helensburgh",275,
"111477295","Helensburgh",535,
"111477296","Helensburgh",503,
"111479999","Helensburgh",287,
"111487309","Thirroul - Austinmer - Coalcliff",619,
"111487310","Thirroul - Austinmer - Coalcliff",521,
"111487311","Thirroul - Austinmer - Coalcliff",267,
"111487312","Thirroul - Austinmer - Coalcliff",230,
"111487313","Thirroul - Austinmer - Coalcliff",169,
"111489999","Thirroul - Austinmer - Coalcliff",241,
"111497402","Wollongong",793,
"111497403","Wollongong",3154,
"111497404","Wollongong",517,
"111497405","Wollongong",697,
"111497406","Wollongong",10511,
"111497407","Wollongong",872,
"111497408","Wollongong",320,
"111497409","Wollongong",2781,
"111497410","Wollongong",897,
"111497411","Wollongong",468,
"111497412","Wollongong",1558,
"111499999","Wollongong",2076,
"111507326","Woonona - Bulli - Russell Vale",166,
"111507327","Woonona - Bulli - Russell Vale",555,
"111507328","Woonona - Bulli - Russell Vale",486,
"111507329","Woonona - Bulli - Russell Vale",620,
"111507330","Woonona - Bulli - Russell Vale",462,
"111507331","Woonona - Bulli - Russell Vale",444,
"111507332","Woonona - Bulli - Russell Vale",148,
"111509999","Woonona - Bulli - Russell Vale",388,
"111518383","Bulahdelah - Stroud",169,
"111518384","Bulahdelah - Stroud",407,
"111518385","Bulahdelah - Stroud",426,
"111518386","Bulahdelah - Stroud",251,
"111519999","Bulahdelah - Stroud",242,
"111528397","Forster",2278,
"111528398","Forster",712,
"111529999","Forster",360,
"111538392","Forster-Tuncurry Region",119,
"111538393","Forster-Tuncurry Region",310,
"111538394","Forster-Tuncurry Region",485,
"111539999","Forster-Tuncurry Region",12,
"111548389","Tuncurry",2408,
"111558322","Kempsey",519,
"111558323","Kempsey",341,
"111558324","Kempsey",4647,
"111558325","Kempsey",290,
"111559999","Kempsey",467,
"111568300","Kempsey Region",204,
"111568301","Kempsey Region",174,
"111568302","Kempsey Region",334,
"111568303","Kempsey Region",249,
"111568304","Kempsey Region",474,
