Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"DZN to State/Territory (POW) and Main Statistical Area Structure (Main ASGS) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"DZN to State/Territory (POW)","Main Statistical Area Structure (Main ASGS) (POW)",
"110018063","Goulburn",4571,
"110018064","Goulburn",1104,
"110018065","Goulburn",2763,
"110019999","Goulburn",575,
"110028068","Goulburn Region",437,
"110028069","Goulburn Region",670,
"110028070","Goulburn Region",149,
"110028071","Goulburn Region",340,
"110028072","Goulburn Region",290,
"110028073","Goulburn Region",263,
"110028074","Goulburn Region",770,
"110029999","Goulburn Region",120,
"110038049","Yass",1683,
"110038050","Yass",279,
"110039999","Yass",10,
"110048053","Yass Region",118,
"110048054","Yass Region",168,
"110048055","Yass Region",150,
"110048056","Yass Region",228,
"110048057","Yass Region",121,
"110048058","Yass Region",701,
"110048059","Yass Region",184,
"110048060","Yass Region",103,
"110049999","Yass Region",37,
"110058039","Young",3260,
"110058040","Young",725,
"110059999","Young",185,
"110068043","Young Region",18,
"110068044","Young Region",402,
"110068045","Young Region",798,
"110068046","Young Region",940,
"110069999","Young Region",58,
"110078098","Braidwood",91,
"110078099","Braidwood",652,
"110078100","Braidwood",159,
"110079999","Braidwood",42,
"110088084","Karabar",764,
"110098077","Queanbeyan",4093,
"110108087","Queanbeyan - East",2569,
"110118090","Queanbeyan Region",226,
"110118091","Queanbeyan Region",570,
"110118092","Queanbeyan Region",1023,
"110118093","Queanbeyan Region",129,
"110118094","Queanbeyan Region",129,
"110118095","Queanbeyan Region",184,
"110119999","Queanbeyan Region",5,
"110128080","Queanbeyan West - Jerrabomberra",1334,
"110128081","Queanbeyan West - Jerrabomberra",586,
"110129999","Queanbeyan West - Jerrabomberra",62,
"110138120","Bombala",144,
"110138121","Bombala",501,
"110138122","Bombala",102,
"110138123","Bombala",130,
"110139999","Bombala",119,
"110148117","Cooma",3143,
"110158112","Cooma Region",213,
"110158113","Cooma Region",126,
"110158114","Cooma Region",269,
"110159999","Cooma Region",6,
"110168103","Jindabyne - Berridale",564,
"110168104","Jindabyne - Berridale",75,
"110168105","Jindabyne - Berridale",1154,
"110168106","Jindabyne - Berridale",149,
"110168107","Jindabyne - Berridale",258,
"110168108","Jindabyne - Berridale",330,
"110168109","Jindabyne - Berridale",659,
"110169999","Jindabyne - Berridale",655,
"110178126","Batemans Bay",3779,
"110188129","Batemans Bay - South",1030,
"110198157","Bega - Tathra",3956,
"110198158","Bega - Tathra",253,
"110198159","Bega - Tathra",169,
"110199999","Bega - Tathra",116,
"110208162","Bega-Eden Hinterland",106,
"110208163","Bega-Eden Hinterland",114,
"110208164","Bega-Eden Hinterland",221,
"110208165","Bega-Eden Hinterland",601,
"110208166","Bega-Eden Hinterland",89,
"110208167","Bega-Eden Hinterland",29,
"110208168","Bega-Eden Hinterland",130,
"110209999","Bega-Eden Hinterland",15,
"110218132","Broulee - Tomakin",542,
"110228147","Deua - Wadbilliga",14,
"110238175","Eden",1340,
"110248141","Eurobodalla Hinterland",64,
"110248142","Eurobodalla Hinterland",235,
"110248143","Eurobodalla Hinterland",133,
"110248144","Eurobodalla Hinterland",256,
"110258171","Merimbula - Tura Beach",768,
"110258172","Merimbula - Tura Beach",2653,
"110259999","Merimbula - Tura Beach",171,
"110268135","Moruya - Tuross Head",264,
"110268136","Moruya - Tuross Head",2204,
"110268137","Moruya - Tuross Head",128,
"110268138","Moruya - Tuross Head",165,
"110269999","Moruya - Tuross Head",176,
"110278150","Narooma - Bermagui",329,
"110278151","Narooma - Bermagui",911,
"110278152","Narooma - Bermagui",402,
"110278153","Narooma - Bermagui",87,
"110278154","Narooma - Bermagui",380,
"110279999","Narooma - Bermagui",286,
