Measure,Year,SA3_MAIN11,SA2_NAME11,Estimates_resident_population
Estimated Resident Population,1991,10101,Goulburn - Yass,61667
Estimated Resident Population,1992,10101,Goulburn - Yass,61751
Estimated Resident Population,1993,10101,Goulburn - Yass,61706
Estimated Resident Population,1994,10101,Goulburn - Yass,61651
Estimated Resident Population,1995,10101,Goulburn - Yass,61602
Estimated Resident Population,1996,10101,Goulburn - Yass,61786
Estimated Resident Population,1997,10101,Goulburn - Yass,61968
Estimated Resident Population,1998,10101,Goulburn - Yass,62283
Estimated Resident Population,1999,10101,Goulburn - Yass,62576
Estimated Resident Population,2000,10101,Goulburn - Yass,62952
Estimated Resident Population,2001,10101,Goulburn - Yass,63370
Estimated Resident Population,2002,10101,Goulburn - Yass,63784
Estimated Resident Population,2003,10101,Goulburn - Yass,64245
Estimated Resident Population,2004,10101,Goulburn - Yass,64550
Estimated Resident Population,2005,10101,Goulburn - Yass,64891
Estimated Resident Population,2006,10101,Goulburn - Yass,65284
Estimated Resident Population,2007,10101,Goulburn - Yass,65807
Estimated Resident Population,2008,10101,Goulburn - Yass,66670
Estimated Resident Population,2009,10101,Goulburn - Yass,67745
Estimated Resident Population,2010,10101,Goulburn - Yass,68950
Estimated Resident Population,2011,10101,Goulburn - Yass,69775
Estimated Resident Population,2012,10101,Goulburn - Yass,70520
Estimated Resident Population,2013,10101,Goulburn - Yass,71153
Estimated Resident Population,2014,10101,Goulburn - Yass,71774
Estimated Resident Population,2015,10101,Goulburn - Yass,72363
Estimated Resident Population,2016,10101,Goulburn - Yass,73003
Estimated Resident Population,1991,10102,Queanbeyan,35281
Estimated Resident Population,1992,10102,Queanbeyan,36409
Estimated Resident Population,1993,10102,Queanbeyan,37298
Estimated Resident Population,1994,10102,Queanbeyan,38190
Estimated Resident Population,1995,10102,Queanbeyan,38936
Estimated Resident Population,1996,10102,Queanbeyan,39563
Estimated Resident Population,1997,10102,Queanbeyan,40322
Estimated Resident Population,1998,10102,Queanbeyan,40883
Estimated Resident Population,1999,10102,Queanbeyan,42104
Estimated Resident Population,2000,10102,Queanbeyan,44026
Estimated Resident Population,2001,10102,Queanbeyan,45224
Estimated Resident Population,2002,10102,Queanbeyan,46614
Estimated Resident Population,2003,10102,Queanbeyan,48109
Estimated Resident Population,2004,10102,Queanbeyan,48820
Estimated Resident Population,2005,10102,Queanbeyan,49919
Estimated Resident Population,2006,10102,Queanbeyan,51118
Estimated Resident Population,2007,10102,Queanbeyan,52101
Estimated Resident Population,2008,10102,Queanbeyan,53273
Estimated Resident Population,2009,10102,Queanbeyan,54354
Estimated Resident Population,2010,10102,Queanbeyan,55410
Estimated Resident Population,2011,10102,Queanbeyan,56051
Estimated Resident Population,2012,10102,Queanbeyan,56730
Estimated Resident Population,2013,10102,Queanbeyan,57345
Estimated Resident Population,2014,10102,Queanbeyan,58059
Estimated Resident Population,2015,10102,Queanbeyan,58733
Estimated Resident Population,2016,10102,Queanbeyan,59472
Estimated Resident Population,1991,10103,Snowy Mountains,18092
Estimated Resident Population,1992,10103,Snowy Mountains,18263
Estimated Resident Population,1993,10103,Snowy Mountains,18362
Estimated Resident Population,1994,10103,Snowy Mountains,18477
Estimated Resident Population,1995,10103,Snowy Mountains,18568
Estimated Resident Population,1996,10103,Snowy Mountains,18699
Estimated Resident Population,1997,10103,Snowy Mountains,18589
Estimated Resident Population,1998,10103,Snowy Mountains,18706
Estimated Resident Population,1999,10103,Snowy Mountains,18826
Estimated Resident Population,2000,10103,Snowy Mountains,18748
Estimated Resident Population,2001,10103,Snowy Mountains,18810
Estimated Resident Population,2002,10103,Snowy Mountains,19005
Estimated Resident Population,2003,10103,Snowy Mountains,19084
Estimated Resident Population,2004,10103,Snowy Mountains,19128
Estimated Resident Population,2005,10103,Snowy Mountains,19205
Estimated Resident Population,2006,10103,Snowy Mountains,19337
Estimated Resident Population,2007,10103,Snowy Mountains,19413
Estimated Resident Population,2008,10103,Snowy Mountains,19440
Estimated Resident Population,2009,10103,Snowy Mountains,19501
Estimated Resident Population,2010,10103,Snowy Mountains,19577
Estimated Resident Population,2011,10103,Snowy Mountains,19595
Estimated Resident Population,2012,10103,Snowy Mountains,19625
Estimated Resident Population,2013,10103,Snowy Mountains,19659
Estimated Resident Population,2014,10103,Snowy Mountains,19688
Estimated Resident Population,2015,10103,Snowy Mountains,19707
Estimated Resident Population,2016,10103,Snowy Mountains,19740
Estimated Resident Population,1991,10104,South Coast,53440
Estimated Resident Population,1992,10104,South Coast,54889
Estimated Resident Population,1993,10104,South Coast,55973
Estimated Resident Population,1994,10104,South Coast,57127
Estimated Resident Population,1995,10104,South Coast,57799
Estimated Resident Population,1996,10104,South Coast,58677
Estimated Resident Population,1997,10104,South Coast,59581
Estimated Resident Population,1998,10104,South Coast,60599
Estimated Resident Population,1999,10104,South Coast,61743
Estimated Resident Population,2000,10104,South Coast,62960
Estimated Resident Population,2001,10104,South Coast,64093
Estimated Resident Population,2002,10104,South Coast,65063
Estimated Resident Population,2003,10104,South Coast,65941
Estimated Resident Population,2004,10104,South Coast,66787
Estimated Resident Population,2005,10104,South Coast,67299
Estimated Resident Population,2006,10104,South Coast,67708
Estimated Resident Population,2007,10104,South Coast,68319
Estimated Resident Population,2008,10104,South Coast,68762
Estimated Resident Population,2009,10104,South Coast,69214
Estimated Resident Population,2010,10104,South Coast,69989
Estimated Resident Population,2011,10104,South Coast,70407
Estimated Resident Population,2012,10104,South Coast,70644
