CED_2016,Response,count
Adelaide,Yes,62769
Adelaide,No,26771
Aston,Yes,48455
Aston,No,29730
Ballarat,Yes,65613
Ballarat,No,27405
Banks,Yes,37736
Banks,No,46343
Barker,Yes,42498
Barker,No,38827
Barton,Yes,37153
Barton,No,47984
Bass,Yes,36249
Bass,No,22510
Batman,Yes,66383
Batman,No,26906
Bendigo,Yes,63412
Bendigo,No,28852
Bennelong,Yes,42943
Bennelong,No,43215
Berowra,Yes,48471
Berowra,No,40369
Blair,Yes,47194
Blair,No,31433
Blaxland,Yes,20406
Blaxland,No,57926
Bonner,Yes,52139
Bonner,No,31891
Boothby,Yes,62139
Boothby,No,28556
Bowman,Yes,53529
Bowman,No,32627
Braddon,Yes,30054
Braddon,No,25573
Bradfield,Yes,53681
Bradfield,No,34927
Brand,Yes,51953
Brand,No,25481
Brisbane,Yes,72812
Brisbane,No,18762
Bruce,Yes,34644
Bruce,No,39203
Burt,Yes,44058
Burt,No,33275
Calare,Yes,54091
Calare,No,35779
Calwell,Yes,37839
Calwell,No,49823
Canberra(d),Yes,89590
Canberra(d),No,31361
Canning,Yes,48486
Canning,No,32019
Capricornia,Yes,39917
Capricornia,No,33917
Casey,Yes,59959
Casey,No,28144
Chifley,Yes,32871
Chifley,No,46702
Chisholm,Yes,49448
Chisholm,No,30844
Cook,Yes,47505
Cook,No,38804
Corangamite,Yes,69723
Corangamite,No,27708
Corio,Yes,62658
Corio,No,29865
Cowan,Yes,44388
Cowan,No,31075
Cowper,Yes,57493
Cowper,No,38317
Cunningham,Yes,60906
Cunningham,No,31840
Curtin,Yes,59638
Curtin,No,22943
Dawson,Yes,42539
Dawson,No,34599
Deakin,Yes,55464
Deakin,No,28973
Denison,Yes,45005
Denison,No,15992
Dickson,Yes,54206
Dickson,No,28988
Dobell,Yes,59475
Dobell,No,30987
Dunkley,Yes,62840
Dunkley,No,24471
Durack,Yes,39304
Durack,No,27128
Eden-Monaro,Yes,57223
Eden-Monaro,No,30926
Fadden,Yes,52154
Fadden,No,32218
Fairfax,Yes,58510
Fairfax,No,32451
Farrer,Yes,48432
Farrer,No,39297
Fenner(e),Yes,85869
Fenner(e),No,30159
Fisher,Yes,52023
Fisher,No,30783
Flinders,Yes,68291
Flinders,No,29275
Flynn,Yes,39020
Flynn,No,36783
Forde,Yes,46937
Forde,No,30585
Forrest,Yes,51612
Forrest,No,29285
Fowler,Yes,27847
Fowler,No,48782
Franklin,Yes,44746
Franklin,No,20322
Fremantle,Yes,57541
Fremantle,No,24559
Gellibrand,Yes,62045
Gellibrand,No,29065
Gilmore,Yes,59322
Gilmore,No,36386
Gippsland,Yes,51196
Gippsland,No,33910
Goldstein,Yes,69726
Goldstein,No,21663
Gorton,Yes,49834
Gorton,No,43587
Grayndler,Yes,73208
Grayndler,No,18429
Greenway,Yes,38016
Greenway,No,43980
Grey,Yes,40811
Grey,No,35750
Griffith,Yes,69171
Griffith,No,21132
Groom,Yes,40536
Groom,No,41915
Hasluck,Yes,47880
Hasluck,No,28836
Herbert,Yes,48110
Herbert,No,28441
Higgins,Yes,70059
Higgins,No,19375
Hindmarsh,Yes,57947
Hindmarsh,No,33613
Hinkler,Yes,40649
Hinkler,No,39548
Holt,Yes,47147
Holt,No,45875
Hotham,Yes,47986
Hotham,No,32524
Hughes,Yes,51337
Hughes,No,36558
Hume,Yes,51284
Hume,No,36271
Hunter,Yes,59137
Hunter,No,32723
Indi,Yes,54563
Indi,No,31925
Isaacs,Yes,56645
Isaacs,No,30063
Jagajaga,Yes,65098
Jagajaga,No,23453
Kennedy,Yes,33160
Kennedy,No,37784
Kingsford Smith,Yes,56297
Kingsford Smith,No,31510
Kingston,Yes,58863
Kingston,No,27567
Kooyong,Yes,63592
Kooyong,No,22729
La Trobe,Yes,61807
La Trobe,No,29826
Lalor,Yes,57062
Lalor,No,43429
Leichhardt,Yes,47750
Leichhardt,No,27606
Lilley,Yes,59991
Lilley,No,28671
Lindsay,Yes,49071
Lindsay,No,38295
Lingiari(c),Yes,19026
Lingiari(c),No,15898
Longman,Yes,51268
Longman,No,33576
Lyne,Yes,51416
Lyne,No,41539
Lyons,Yes,35894
Lyons,No,25258
Macarthur,Yes,43323
Macarthur,No,39907
Mackellar,Yes,62350
Mackellar,No,29330
Macquarie,Yes,56180
Macquarie,No,31778
Makin,Yes,51547
Makin,No,33743
Mallee,Yes,42495
Mallee,No,35795
Maranoa,Yes,35475
Maranoa,No,45308
Maribyrnong,Yes,53208
Maribyrnong,No,35658
Mayo,Yes,57361
Mayo,No,31247
McEwen,Yes,73705
McEwen,No,39007
McMahon,Yes,29146
McMahon,No,53967
McMillan,Yes,61479
McMillan,No,36500
McPherson,Yes,54034
McPherson,No,28486
Melbourne,Yes,81287
Melbourne,No,15839
Melbourne Ports,Yes,70589
Melbourne Ports,No,15523
Menzies,Yes,47137
Menzies,No,35626
Mitchell,Yes,42112
Mitchell,No,43652
Moncrieff,Yes,50566
Moncrieff,No,28717
Moore,Yes,56690
Moore,No,26690
Moreton,Yes,47418
Moreton,No,30413
Murray,Yes,48205
Murray,No,35452
New England,Yes,44608
New England,No,40324
Newcastle,Yes,71158
Newcastle,No,23999
North Sydney,Yes,64813
North Sydney,No,25473
O'Connor,Yes,43554
O'Connor,No,33987
Oxley,Yes,44655
Oxley,No,29365
Page,Yes,55943
Page,No,37727
Parkes,Yes,41408
Parkes,No,37108
Parramatta,Yes,29299
Parramatta,No,47038
Paterson,Yes,60915
Paterson,No,32059
Pearce,Yes,54305
Pearce,No,30699
Perth,Yes,57510
Perth,No,22967
Petrie,Yes,53144
Petrie,No,33067
Port Adelaide,Yes,53649
Port Adelaide,No,33869
Rankin,Yes,41570
Rankin,No,34621
Reid,Yes,43567
Reid,No,39061
Richmond,Yes,62591
Richmond,No,29625
Riverina,Yes,47333
Riverina,No,39308
Robertson,Yes,58689
Robertson,No,30614
Ryan,Yes,64967
Ryan,No,24451
Scullin,Yes,48245
Scullin,No,42147
Shortland,Yes,62455
Shortland,No,29836
Solomon,Yes,29660
Solomon,No,15792
Stirling,Yes,47225
Stirling,No,30060
Sturt,Yes,52308
Sturt,No,32655
Swan,Yes,49093
Swan,No,26830
Sydney,Yes,76144
Sydney,No,14860
Tangney,Yes,48338
Tangney,No,30090
Wakefield,Yes,52636
Wakefield,No,33649
Wannon,Yes,49340
Wannon,No,31529
Warringah,Yes,64999
Warringah,No,21660
Watson,Yes,24915
Watson,No,57160
Wentworth,Yes,69279
Wentworth,No,16410
Werriwa,Yes,30252
Werriwa,No,53174
Whitlam,Yes,57562
Whitlam,No,34879
Wide Bay,Yes,46507
Wide Bay,No,37065
Wills,Yes,68450
Wills,No,29399
Wright,Yes,47109
Wright,No,35812
