LGA_NAME16,LGA_CODE_2016,lga_lat,lga_lon,gpo_lat,gpo_lon,distance,persons
Albury (C),LGA10050,-36.0266039,146.9704242,-33.8688197,151.2092955,454.715743730641,51076
Armidale Regional (A),LGA10130,-30.33634897,151.82914994,-33.8688197,151.2092955,397.105472599727,29449
Ballina (A),LGA10250,-28.85288636,153.48614737,-33.8688197,151.2092955,598.124659511978,41790
Balranald (A),LGA10300,-33.95035167,143.61162542,-33.8688197,151.2092955,701.032523972606,2287
Bathurst Regional (A),LGA10470,-33.43013885,149.52563369,-33.8688197,151.2092955,163.298549079219,41300
Bega Valley (A),LGA10550,-36.82594299,149.71756954,-33.8688197,151.2092955,355.548843297005,33253
Bellingen (A),LGA10600,-30.40380234,152.72859066,-33.8688197,151.2092955,410.975309424154,12668
Berrigan (A),LGA10650,-35.7343272,145.71121606,-33.8688197,151.2092955,543.067888248142,8462
Blacktown (C),LGA10750,-33.74132841,150.8643511,-33.8688197,151.2092955,34.8820082327218,336962
Bland (A),LGA10800,-33.8943438,146.96126723,-33.8688197,151.2092955,392.130941580364,5955
Blayney (A),LGA10850,-33.59433038,149.1420588,-33.8688197,151.2092955,193.58548663932,7257
Blue Mountains (C),LGA10900,-33.69754437,150.41114122,-33.8688197,151.2092955,76.1835995329045,76904
Bogan (A),LGA10950,-31.53812906,146.86687276,-33.8688197,151.2092955,481.850599593771,2692
Botany Bay (C),LGA11100,-33.94231891,151.20159703,-33.8688197,151.2092955,8.20356227973636,46654
Bourke (A),LGA11150,-29.91056221,145.3568337,-33.8688197,151.2092955,706.17824263271,2634
Brewarrina (A),LGA11200,-29.79152528,146.96088058,-33.8688197,151.2092955,605.368569583302,1651
Broken Hill (C),LGA11250,-31.94403571,141.47926792,-33.8688197,151.2092955,932.809817832312,17708
Burwood (A),LGA11300,-33.88368622,151.10315201,-33.8688197,151.2092955,9.93750240027482,36809
Byron (A),LGA11350,-28.6041666,153.48250525,-33.8688197,151.2092955,623.968088248625,31556
Cabonne (A),LGA11400,-33.15299771,148.754101,-33.8688197,151.2092955,241.133387069095,13386
Camden (A),LGA11450,-34.00878227,150.72402303,-33.8688197,151.2092955,47.3949725434183,78218
Campbelltown (C) (NSW),LGA11500,-34.08334472,150.8457729,-33.8688197,151.2092955,41.1418225229666,157006
Canada Bay (A),LGA11520,-33.85349832,151.11482522,-33.8688197,151.2092955,8.88774197017098,88015
Canterbury-Bankstown (A),LGA11570,-33.92351241,151.03733106,-33.8688197,151.2092955,16.9970859254001,346302
Carrathool (A),LGA11600,-33.60889721,145.49645201,-33.8688197,151.2092955,528.972282521828,2719
Central Coast (C) (NSW),LGA11650,-33.30798976,151.28548762,-33.8688197,151.2092955,62.7595296749899,327736
Central Darling (A),LGA11700,-31.85069805,143.58969166,-33.8688197,151.2092955,746.014168485904,1833
Cessnock (C),LGA11720,-32.92506814,151.22489992,-33.8688197,151.2092955,104.950383055288,55560
Clarence Valley (A),LGA11730,-29.68173808,152.751152,-33.8688197,151.2092955,487.84140712151,50671
Cobar (A),LGA11750,-31.86809992,145.48292898,-33.8688197,151.2092955,579.121232573234,4647
Coffs Harbour (C),LGA11800,-30.18903863,153.03983457,-33.8688197,151.2092955,444.04674022412,72944
Coolamon (A),LGA12000,-34.63253155,147.10483289,-33.8688197,151.2092955,386.657277599354,4315
Coonamble (A),LGA12150,-30.87054861,148.29160706,-33.8688197,151.2092955,431.502704334989,3918
Cowra (A),LGA12350,-33.79638331,148.71795033,-33.8688197,151.2092955,230.250968179235,12460
