Counting,SA2 (POW),Count
"Persons Aged 15 Years and Over, Place of Work",Braidwood,0
"Persons Aged 15 Years and Over, Place of Work",Karabar,0
"Persons Aged 15 Years and Over, Place of Work",Queanbeyan,0
"Persons Aged 15 Years and Over, Place of Work",Queanbeyan - East,0
"Persons Aged 15 Years and Over, Place of Work",Queanbeyan Region,0
"Persons Aged 15 Years and Over, Place of Work",Queanbeyan West - Jerrabomberra,0
"Persons Aged 15 Years and Over, Place of Work",Bombala,0
"Persons Aged 15 Years and Over, Place of Work",Cooma,0
"Persons Aged 15 Years and Over, Place of Work",Cooma Region,0
"Persons Aged 15 Years and Over, Place of Work",Jindabyne - Berridale,0
"Persons Aged 15 Years and Over, Place of Work",Batemans Bay,0
"Persons Aged 15 Years and Over, Place of Work",Batemans Bay - South,0
"Persons Aged 15 Years and Over, Place of Work",Bega - Tathra,0
"Persons Aged 15 Years and Over, Place of Work",Bega-Eden Hinterland,0
"Persons Aged 15 Years and Over, Place of Work",Broulee - Tomakin,0
"Persons Aged 15 Years and Over, Place of Work",Deua - Wadbilliga,0
"Persons Aged 15 Years and Over, Place of Work",Eden,0
"Persons Aged 15 Years and Over, Place of Work",Eurobodalla Hinterland,0
"Persons Aged 15 Years and Over, Place of Work",Merimbula - Tura Beach,0
"Persons Aged 15 Years and Over, Place of Work",Moruya - Tuross Head,0
"Persons Aged 15 Years and Over, Place of Work",Narooma - Bermagui,0
"Persons Aged 15 Years and Over, Place of Work",Goulburn,0
"Persons Aged 15 Years and Over, Place of Work",Goulburn Region,0
"Persons Aged 15 Years and Over, Place of Work",Yass,0
"Persons Aged 15 Years and Over, Place of Work",Yass Region,0
"Persons Aged 15 Years and Over, Place of Work",Young,0
"Persons Aged 15 Years and Over, Place of Work",Young Region,0
"Persons Aged 15 Years and Over, Place of Work",Avoca Beach - Copacabana,0
"Persons Aged 15 Years and Over, Place of Work",Box Head - MacMasters Beach,0
"Persons Aged 15 Years and Over, Place of Work",Calga - Kulnura,0
"Persons Aged 15 Years and Over, Place of Work",Erina - Green Point,0
"Persons Aged 15 Years and Over, Place of Work",Gosford - Springfield,0
"Persons Aged 15 Years and Over, Place of Work",Kariong,0
"Persons Aged 15 Years and Over, Place of Work",Kincumber - Picketts Valley,0
"Persons Aged 15 Years and Over, Place of Work",Narara,0
"Persons Aged 15 Years and Over, Place of Work",Niagara Park - Lisarow,0
"Persons Aged 15 Years and Over, Place of Work",Point Clare - Koolewong,0
"Persons Aged 15 Years and Over, Place of Work",Saratoga - Davistown,0
"Persons Aged 15 Years and Over, Place of Work",Terrigal - North Avoca,0
"Persons Aged 15 Years and Over, Place of Work",Umina - Booker Bay - Patonga,0
"Persons Aged 15 Years and Over, Place of Work",Wamberal - Forresters Beach,0
"Persons Aged 15 Years and Over, Place of Work",Woy Woy - Blackwall,0
"Persons Aged 15 Years and Over, Place of Work",Wyoming,0
"Persons Aged 15 Years and Over, Place of Work",Bateau Bay - Killarney Vale,0
"Persons Aged 15 Years and Over, Place of Work",Blue Haven - San Remo,0
"Persons Aged 15 Years and Over, Place of Work",Budgewoi - Buff Point - Halekulani,0
"Persons Aged 15 Years and Over, Place of Work",Chittaway Bay - Tumbi Umbi,0
"Persons Aged 15 Years and Over, Place of Work",Gorokan - Kanwal - Charmhaven,0
"Persons Aged 15 Years and Over, Place of Work",Jilliby - Yarramalong,0
"Persons Aged 15 Years and Over, Place of Work",Lake Munmorah - Mannering Park,0
"Persons Aged 15 Years and Over, Place of Work",Ourimbah - Fountaindale,0
"Persons Aged 15 Years and Over, Place of Work",Summerland Point - Gwandalan,0
"Persons Aged 15 Years and Over, Place of Work",The Entrance,0
"Persons Aged 15 Years and Over, Place of Work",Toukley - Norah Head,0
"Persons Aged 15 Years and Over, Place of Work",Tuggerah - Kangy Angy,0
"Persons Aged 15 Years and Over, Place of Work",Warnervale - Wadalba,0
"Persons Aged 15 Years and Over, Place of Work",Wyong,0
"Persons Aged 15 Years and Over, Place of Work",Bathurst,0
"Persons Aged 15 Years and Over, Place of Work",Bathurst - East,0
"Persons Aged 15 Years and Over, Place of Work",Bathurst Region,0
"Persons Aged 15 Years and Over, Place of Work",Oberon,0
"Persons Aged 15 Years and Over, Place of Work",Condobolin,0
"Persons Aged 15 Years and Over, Place of Work",Cowra,0
"Persons Aged 15 Years and Over, Place of Work",Cowra Region,0
"Persons Aged 15 Years and Over, Place of Work",Forbes,0
"Persons Aged 15 Years and Over, Place of Work",Grenfell,0
"Persons Aged 15 Years and Over, Place of Work",Parkes (NSW),0
"Persons Aged 15 Years and Over, Place of Work",Parkes Region,0
"Persons Aged 15 Years and Over, Place of Work",West Wyalong,0
"Persons Aged 15 Years and Over, Place of Work",Lithgow,0
"Persons Aged 15 Years and Over, Place of Work",Lithgow Region,0
"Persons Aged 15 Years and Over, Place of Work",Mudgee,0
"Persons Aged 15 Years and Over, Place of Work",Mudgee Region - East,0
"Persons Aged 15 Years and Over, Place of Work",Mudgee Region - West,0
"Persons Aged 15 Years and Over, Place of Work",Wollangambe - Wollemi,0
"Persons Aged 15 Years and Over, Place of Work",Blayney,0
"Persons Aged 15 Years and Over, Place of Work",Orange,0
"Persons Aged 15 Years and Over, Place of Work",Orange - North,0
"Persons Aged 15 Years and Over, Place of Work",Orange Region,0
"Persons Aged 15 Years and Over, Place of Work",Grafton,0
"Persons Aged 15 Years and Over, Place of Work",Grafton Region,0
"Persons Aged 15 Years and Over, Place of Work",Maclean - Yamba - Iluka,0
"Persons Aged 15 Years and Over, Place of Work",Bellingen,0
"Persons Aged 15 Years and Over, Place of Work",Coffs Harbour - North,0
"Persons Aged 15 Years and Over, Place of Work",Coffs Harbour - South,0
"Persons Aged 15 Years and Over, Place of Work",Coramba - Nana Glen - Bucca,0
"Persons Aged 15 Years and Over, Place of Work",Dorrigo,0
"Persons Aged 15 Years and Over, Place of Work",Korora - Emerald Beach,0
"Persons Aged 15 Years and Over, Place of Work",Sawtell - Boambee,0
"Persons Aged 15 Years and Over, Place of Work",Urunga,0
"Persons Aged 15 Years and Over, Place of Work",Woolgoolga - Arrawarra,0
"Persons Aged 15 Years and Over, Place of Work",Bourke - Brewarrina,0
"Persons Aged 15 Years and Over, Place of Work",Cobar,0
"Persons Aged 15 Years and Over, Place of Work",Coonamble,0
"Persons Aged 15 Years and Over, Place of Work",Nyngan - Warren,0
"Persons Aged 15 Years and Over, Place of Work",Walgett - Lightning Ridge,0
"Persons Aged 15 Years and Over, Place of Work",Broken Hill,0
"Persons Aged 15 Years and Over, Place of Work",Far West,0
"Persons Aged 15 Years and Over, Place of Work",Coonabarabran,0
"Persons Aged 15 Years and Over, Place of Work",Dubbo - East,0
"Persons Aged 15 Years and Over, Place of Work",Dubbo - South,0
"Persons Aged 15 Years and Over, Place of Work",Dubbo - West,0
"Persons Aged 15 Years and Over, Place of Work",Dubbo Region,0
"Persons Aged 15 Years and Over, Place of Work",Gilgandra,0
"Persons Aged 15 Years and Over, Place of Work",Narromine,0
"Persons Aged 15 Years and Over, Place of Work",Wellington,0
"Persons Aged 15 Years and Over, Place of Work",Branxton - Greta - Pokolbin,0
"Persons Aged 15 Years and Over, Place of Work",Cessnock,0
"Persons Aged 15 Years and Over, Place of Work",Cessnock Region,0
"Persons Aged 15 Years and Over, Place of Work",Dungog,0
"Persons Aged 15 Years and Over, Place of Work",Kurri Kurri - Abermain,0
"Persons Aged 15 Years and Over, Place of Work",Singleton,0
"Persons Aged 15 Years and Over, Place of Work",Singleton Region,0
"Persons Aged 15 Years and Over, Place of Work",Maitland,0
"Persons Aged 15 Years and Over, Place of Work",Maitland - East,0
"Persons Aged 15 Years and Over, Place of Work",Maitland - North,0
"Persons Aged 15 Years and Over, Place of Work",Maitland - West,0
"Persons Aged 15 Years and Over, Place of Work",Thornton - Millers Forest,0
"Persons Aged 15 Years and Over, Place of Work",Anna Bay,0
"Persons Aged 15 Years and Over, Place of Work",Lemon Tree Passage - Tanilba Bay,0
"Persons Aged 15 Years and Over, Place of Work",Nelson Bay Peninsula,0
"Persons Aged 15 Years and Over, Place of Work",Raymond Terrace,0
"Persons Aged 15 Years and Over, Place of Work",Seaham - Woodville,0
"Persons Aged 15 Years and Over, Place of Work",Tea Gardens - Hawks Nest,0
"Persons Aged 15 Years and Over, Place of Work",Williamtown - Medowie - Karuah,0
"Persons Aged 15 Years and Over, Place of Work",Muswellbrook,0
"Persons Aged 15 Years and Over, Place of Work",Muswellbrook Region,0
"Persons Aged 15 Years and Over, Place of Work",Scone,0
"Persons Aged 15 Years and Over, Place of Work",Scone Region,0
"Persons Aged 15 Years and Over, Place of Work",Dapto - Avondale,0
"Persons Aged 15 Years and Over, Place of Work",Horsley - Kembla Grange,0
"Persons Aged 15 Years and Over, Place of Work",Port Kembla Industrial,0
"Persons Aged 15 Years and Over, Place of Work",Unanderra - Mount Kembla,0
"Persons Aged 15 Years and Over, Place of Work",Berkeley - Lake Heights - Cringila,0
"Persons Aged 15 Years and Over, Place of Work",Port Kembla - Warrawong,0
"Persons Aged 15 Years and Over, Place of Work",Windang - Primbee,0
"Persons Aged 15 Years and Over, Place of Work",Illawarra Catchment Reserve,0
"Persons Aged 15 Years and Over, Place of Work",Albion Park - Macquarie Pass,0
"Persons Aged 15 Years and Over, Place of Work",Albion Park Rail,0
"Persons Aged 15 Years and Over, Place of Work",Kiama,0
"Persons Aged 15 Years and Over, Place of Work",Kiama Downs - Minnamurra,0
"Persons Aged 15 Years and Over, Place of Work",Kiama Hinterland - Gerringong,0
"Persons Aged 15 Years and Over, Place of Work",Shellharbour - Flinders,0
"Persons Aged 15 Years and Over, Place of Work",Shellharbour - Oak Flats,0
"Persons Aged 15 Years and Over, Place of Work",Warilla,0
"Persons Aged 15 Years and Over, Place of Work",Balgownie - Fairy Meadow,0
"Persons Aged 15 Years and Over, Place of Work",Corrimal - Tarrawanna - Bellambi,0
"Persons Aged 15 Years and Over, Place of Work",Figtree - Keiraville,0
"Persons Aged 15 Years and Over, Place of Work",Helensburgh,0
"Persons Aged 15 Years and Over, Place of Work",Thirroul - Austinmer - Coalcliff,0
"Persons Aged 15 Years and Over, Place of Work",Woonona - Bulli - Russell Vale,0
"Persons Aged 15 Years and Over, Place of Work",Wollongong - East,0
"Persons Aged 15 Years and Over, Place of Work",Wollongong - West,0
"Persons Aged 15 Years and Over, Place of Work",Bulahdelah - Stroud,0
"Persons Aged 15 Years and Over, Place of Work",Forster,0
"Persons Aged 15 Years and Over, Place of Work",Forster-Tuncurry Region,0
"Persons Aged 15 Years and Over, Place of Work",Tuncurry,0
"Persons Aged 15 Years and Over, Place of Work",Kempsey,0
"Persons Aged 15 Years and Over, Place of Work",Kempsey Region,0
"Persons Aged 15 Years and Over, Place of Work",Macksville - Scotts Head,0
"Persons Aged 15 Years and Over, Place of Work",Nambucca Heads,0
"Persons Aged 15 Years and Over, Place of Work",Nambucca Heads Region,0
"Persons Aged 15 Years and Over, Place of Work",South West Rocks,0
"Persons Aged 15 Years and Over, Place of Work",Lord Howe Island,0
"Persons Aged 15 Years and Over, Place of Work",Laurieton - Bonny Hills,0
"Persons Aged 15 Years and Over, Place of Work",Port Macquarie - East,0
"Persons Aged 15 Years and Over, Place of Work",Port Macquarie - West,0
"Persons Aged 15 Years and Over, Place of Work",Port Macquarie Region,0
"Persons Aged 15 Years and Over, Place of Work",Wauchope,0
"Persons Aged 15 Years and Over, Place of Work",Gloucester,0
"Persons Aged 15 Years and Over, Place of Work",Old Bar - Manning Point - Red Head,0
"Persons Aged 15 Years and Over, Place of Work",Taree,0
"Persons Aged 15 Years and Over, Place of Work",Taree Region,0
"Persons Aged 15 Years and Over, Place of Work",Wingham,0
"Persons Aged 15 Years and Over, Place of Work",Albury - East,0
"Persons Aged 15 Years and Over, Place of Work",Albury - North,0
"Persons Aged 15 Years and Over, Place of Work",Albury - South,0
"Persons Aged 15 Years and Over, Place of Work",Albury Region,0
"Persons Aged 15 Years and Over, Place of Work",Lavington,0
"Persons Aged 15 Years and Over, Place of Work",Hay,0
"Persons Aged 15 Years and Over, Place of Work",Wentworth - Buronga,0
"Persons Aged 15 Years and Over, Place of Work",Wentworth-Balranald Region,0
"Persons Aged 15 Years and Over, Place of Work",Corowa,0
"Persons Aged 15 Years and Over, Place of Work",Corowa Region,0
"Persons Aged 15 Years and Over, Place of Work",Deniliquin,0
"Persons Aged 15 Years and Over, Place of Work",Deniliquin Region,0
"Persons Aged 15 Years and Over, Place of Work",Moama,0
"Persons Aged 15 Years and Over, Place of Work",Tocumwal - Finley - Jerilderie,0
"Persons Aged 15 Years and Over, Place of Work",Armidale,0
"Persons Aged 15 Years and Over, Place of Work",Armidale Region - North,0
"Persons Aged 15 Years and Over, Place of Work",Armidale Region - South,0
"Persons Aged 15 Years and Over, Place of Work",Walcha,0
"Persons Aged 15 Years and Over, Place of Work",Glen Innes,0
"Persons Aged 15 Years and Over, Place of Work",Inverell,0
"Persons Aged 15 Years and Over, Place of Work",Inverell Region - East,0
"Persons Aged 15 Years and Over, Place of Work",Inverell Region - West,0
"Persons Aged 15 Years and Over, Place of Work",Tenterfield,0
"Persons Aged 15 Years and Over, Place of Work",Moree,0
"Persons Aged 15 Years and Over, Place of Work",Moree Region,0
"Persons Aged 15 Years and Over, Place of Work",Narrabri,0
"Persons Aged 15 Years and Over, Place of Work",Narrabri Region,0
"Persons Aged 15 Years and Over, Place of Work",Gunnedah,0
"Persons Aged 15 Years and Over, Place of Work",Gunnedah Region,0
"Persons Aged 15 Years and Over, Place of Work",Quirindi,0
"Persons Aged 15 Years and Over, Place of Work",Tamworth - East,0
"Persons Aged 15 Years and Over, Place of Work",Tamworth - North,0
"Persons Aged 15 Years and Over, Place of Work",Tamworth - West,0
"Persons Aged 15 Years and Over, Place of Work",Tamworth Region,0
"Persons Aged 15 Years and Over, Place of Work",Belmont - Bennetts Green,0
"Persons Aged 15 Years and Over, Place of Work",Belmont South - Blacksmiths,0
"Persons Aged 15 Years and Over, Place of Work",Charlestown - Dudley,0
"Persons Aged 15 Years and Over, Place of Work",Glendale - Cardiff - Hillsborough,0
"Persons Aged 15 Years and Over, Place of Work",Mount Hutton - Windale,0
"Persons Aged 15 Years and Over, Place of Work",Redhead,0
"Persons Aged 15 Years and Over, Place of Work",Swansea - Caves Beach,0
"Persons Aged 15 Years and Over, Place of Work",Valentine - Eleebana,0
"Persons Aged 15 Years and Over, Place of Work",Warners Bay - Boolaroo,0
"Persons Aged 15 Years and Over, Place of Work",Bolton Point - Teralba,0
"Persons Aged 15 Years and Over, Place of Work",Bonnells Bay - Silverwater,0
"Persons Aged 15 Years and Over, Place of Work",Edgeworth - Cameron Park,0
"Persons Aged 15 Years and Over, Place of Work",Morisset - Cooranbong,0
"Persons Aged 15 Years and Over, Place of Work",Toronto - Awaba,0
"Persons Aged 15 Years and Over, Place of Work",Wangi Wangi - Rathmines,0
"Persons Aged 15 Years and Over, Place of Work",West Wallsend - Barnsley - Killingworth,0
"Persons Aged 15 Years and Over, Place of Work",Adamstown - Kotara,0
"Persons Aged 15 Years and Over, Place of Work",Beresfield - Hexham,0
"Persons Aged 15 Years and Over, Place of Work",Hamilton - Broadmeadow,0
"Persons Aged 15 Years and Over, Place of Work",Lambton - New Lambton,0
"Persons Aged 15 Years and Over, Place of Work",Maryland - Fletcher - Minmi,0
